,no,s,n,marketCap,price,change,revenue,url
99,100,hose/TDM,Thu Dau Mot Water JSC,5720000000000.0,52000,-1.8867924528301887,544406057033.00006,quote/hose/TDM
100,101,hose/NT2,PetroVietnam Power Nhon Trach 2 JSC,5685551572750.0,19750,-1.0025062656641603,5951561622567.0,quote/hose/NT2
101,102,hose/HHV,Deo Ca Traffic Infrastructure Investment JSC,5597709087600.0,12950,-1.520912547528517,1571113012834.0,quote/hose/HHV
102,103,hose/PAN,The PAN Group JSC,5556600350000.0,26600,-2.564102564102564,16184024349272.0,quote/hose/PAN
103,104,hose/VSC,Vietnam Container Shipping Joint Stock Corporation,5480864987700.0,18400,1.098901098901099,2787912700840.0,quote/hose/VSC
104,105,hose/TLG,Thien Long Group Corporation,5446575225000.0,63400,2.258064516129032,3758585336781.0,quote/hose/TLG
105,106,hose/DBD,Binh Dinh Pharmaceutical and Medical Equipment JSC,5388696691200.0,57600,0.0,1727548387571.0,quote/hose/DBD
106,107,hose/CHP,Central Hydropower JSC,5303547314800.0,36000,-0.5524861878453038,814199531520.0,quote/hose/CHP
107,108,hose/VDS,Viet Dragon Securities Corporation,5030100000000.0,20800,0.4830917874396135,707618227659.0,quote/hose/VDS
108,109,hose/GEG,Gia Lai Electricity JSC,4855078427050.0,13800,6.976744186046512,2325314422750.0,quote/hose/GEG
109,110,hose/HT1,Ha Tien 1 Cement JSC,4750794391950.0,12600,-0.3952569169960474,6884245697137.0,quote/hose/HT1
110,111,hose/ORS,Tien Phong Securities Corporation,4636796453400.0,14100,1.8050541516245489,1557574369236.0,quote/hose/ORS
111,112,hose/MSH,Song Hong Garment JSC,4628369970000.0,59600,1.706484641638225,5280403155194.0,quote/hose/MSH
112,113,hose/ANV,Nam Viet Corporation,4600014375000.0,17450,0.8670520231213872,4661252096552.0,quote/hose/ANV
113,114,hose/TMP,Thac Mo Hydro Power JSC,4557000000000.0,65900,-0.603318250377074,763632751650.0,quote/hose/TMP
114,115,hose/CSV,South Basic Chemicals JSC,4530496310000.0,41000,-2.6128266033254155,1855578766161.0,quote/hose/CSV
115,116,hose/CII,Ho Chi Minh City Infrastructure Investment JSC,4476533782000.0,14300,0.3508771929824561,3027742956120.0,quote/hose/CII
116,117,hose/HDC,Ba Ria - Vung Tau House Development JSC,4423203156800.0,26100,0.38461538461538464,546438475897.99994,quote/hose/HDC
117,118,hose/DXS,Dat Xanh Real Estate Services JSC,4311514461240.0,7490,2.3224043715846996,1997404377548.0,quote/hose/DXS
118,119,hose/PDN,Dong Nai Port JSC,4297093327999.999,116000,0.5199306759098787,1337315365298.0,quote/hose/PDN
119,120,hose/BIC,Bank for Investment and Development of Vietnam Insurance Joint Stock Corporation,4286470512249.999,36700,-0.13605442176870747,4646099767745.0,quote/hose/BIC
120,121,hose/TCM,Thanh Cong Textile Garment Investment Trading JSC,4237169331200.0,40650,0.0,3810451106702.0,quote/hose/TCM
121,122,hose/DPR,Dong Phu Rubber JSC,4122737473400.0,47900,0.8421052631578947,1197088917794.0,quote/hose/DPR
