,Comp_code,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Price,Time,SIZE
259,BKC,2022,2,153.319464,11850.68754,0.08902106,0.289270919,2.429220896,0.681836326,0.641313002,0,0,89206732800,4.37E+11,6.5,6/30/2022,25.21422235
260,BKC,2022,3,434.4729285,15663.27687,0.118615644,0.349778039,2.019461597,0.632848507,0.57459241,0,0,1.06E+11,5.01E+11,7.8,9/30/2022,25.38670493
261,BKC,2022,4,-504.4398794,15158.83699,0.007352317,0.018885698,24.91139602,0.538946333,0.415599165,0,0,73947686400,3.86E+11,6.6,12/31/2022,25.02662374
262,BKC,2021,1,-1168.845516,10068.23607,-0.091909021,-0.272868752,-1.757615086,0.683128351,0.536340225,0,0,63383731200,3.73E+11,5.4,3/31/2021,24.87247306
263,BKC,2021,2,-1215.125238,8853.110836,-0.095391474,-0.302961745,-2.617460002,0.72301366,0.937523561,0,0,97423142400,3.75E+11,5.4,6/30/2021,25.30232962
264,BKC,2021,3,-893.5853738,7959.525462,-0.115538501,-0.393434306,-1.973748128,0.758438112,0.929703666,0,0,86859187200,3.87E+11,8.3,9/30/2021,25.18755411
265,BKC,2021,4,3794.415995,11622.94306,0.011170542,0.033758623,31.35840411,0.662792104,1.041044418,0,0,1.42E+11,4.09E+11,8.3,12/31/2021,25.67909289
266,BKC,2020,1,-58.75201913,13140.42076,0.040571768,0.102283595,4.546653385,0.597927064,0.441386171,0,0,68078822400,3.84E+11,6,3/31/2020,24.94393202
267,BKC,2020,2,-1116.457166,12023.96359,0.03150803,0.079171592,5.848001986,0.632365521,0.490686782,0,0,69252595200,3.84E+11,6,6/30/2020,24.96102646
268,BKC,2020,3,-315.3865748,11708.57702,-0.025863158,-0.068314703,-6.428722158,0.675834122,0.469741113,0,0,64557504000,4.24E+11,5.5,9/30/2020,24.8908222
269,BKC,2020,4,-471.6557882,11237.08159,-0.061419378,-0.160588539,-3.057961848,0.660651192,0.533946466,0,0,70426368000,3.89E+11,4.9,12/31/2020,24.97783358
270,BPC,2024,1,-13.16164026,24687.82395,0.007294327,0.014838604,27.55935802,0.506989912,0.409108556,0.01980198,0.166930693,38380000000,1.9E+11,8.43,3/31/2024,24.37080233
271,BPC,2024,2,160.3555661,24551.46571,0.00544703,0.011001502,37.54906845,0.519556407,0.415453811,0.019607843,0.17490196,38760000000,1.94E+11,8.92,6/30/2024,24.38065462
272,BPC,2024,3,44.88071316,24596.34642,0.001337759,0.002719085,141.8284009,0.506915609,0.386236225,0.021052632,0.208421053,36100000000,1.9E+11,9.9,9/30/2024,24.3095587
273,BPC,2023,1,-82.92952,24608.23524,0.003694783,0.0079519,50.62019792,0.543045977,0.381985945,0.021276596,0.203829787,35720000000,2.05E+11,9.58,3/31/2023,24.29897659
274,BPC,2023,2,255.1926971,24576.53496,0.007475627,0.016200283,26.13882133,0.532666497,0.402823263,0.02020202,0.166464646,37620000000,2E+11,8.24,6/30/2023,24.35080166
275,BPC,2023,3,249.5429155,24826.07788,0.010490918,0.022324214,18.1533926,0.494184439,0.402802249,0.02,0.1822,38000000000,1.87E+11,9.11,9/30/2023,24.360852
276,BPC,2023,4,-125.0922861,24700.98559,0.005720727,0.012014614,33.36548479,0.498174208,0.400793724,0.02020202,0.186060606,37620000000,1.87E+11,9.21,12/31/2023,24.35080166
277,BPC,2022,1,8.493321842,25401.18546,0.019405928,0.038887591,12.28302694,0.474500545,0.448797952,0.043859649,0.531140351,43320000000,1.84E+11,12.11,3/31/2022,24.49188026
278,BPC,2022,2,51.98178447,24464.74689,0.013919099,0.02743651,13.7857039,0.519197694,0.367876277,0.055555556,0.522777778,34200000000,1.93E+11,9.41,6/30/2022,24.25549148
279,BPC,2022,3,97.36274132,24562.10963,0.012410728,0.024841098,16.13126563,0.530996525,0.386774595,0.052631579,0.544736842,36100000000,1.99E+11,10.35,9/30/2022,24.3095587
280,BPC,2022,4,129.0551276,24691.16476,0.005585984,0.011456505,34.85620375,0.547039758,0.384753012,0.052631579,0.45368421,36100000000,2.07E+11,8.62,12/31/2022,24.3095587
281,BPC,2021,1,19.95578947,25640.42473,0.020363396,0.04076435,9.916953117,0.501576583,0.382208957,0.051020408,0.557653062,37240000000,1.95E+11,10.93,3/31/2021,24.34064929
282,BPC,2021,2,341.7288963,24765.95647,0.015164668,0.030975025,17.1496234,0.547811628,0.516838508,0.0390625,0.34140625,48640000000,2.08E+11,8.74,6/30/2021,24.60771207
283,BPC,2021,3,164.6593516,24930.61582,0.013629881,0.028412363,18.93565331,0.501970726,0.517436075,0.03875969,0.440697674,49020000000,1.9E+11,11.37,9/30/2021,24.61549422
284,BPC,2021,4,462.0763134,25392.69213,0.019307003,0.038751582,13.63153258,0.473270319,0.504082038,0.0390625,0.491015625,48640000000,1.83E+11,12.57,12/31/2021,24.60771207
285,BPC,2020,1,380.1458421,26162.70715,0.025786856,0.060123678,7.198429596,0.51178225,0.401334615,0.114285714,1.180571429,39900000000,2.04E+11,10.33,3/31/2020,24.40964216
286,BPC,2020,2,596.2917113,25380.70934,0.030036857,0.065927087,6.85663512,0.510657953,0.433400023,0.109090909,1.032,41800000000,1.97E+11,9.46,6/30/2020,24.45616218
287,BPC,2020,3,233.2041132,25429.70292,0.035256789,0.072445594,6.561007657,0.457084786,0.456159478,0.103448276,0.838965518,44080000000,1.78E+11,8.11,9/30/2020,24.509272
288,BPC,2020,4,190.7660166,25620.46894,0.024778962,0.054487359,7.78344773,0.527137289,0.425441081,0,0,41420000000,2.06E+11,9.18,12/31/2020,24.44702969
289,BSC,2024,1,177.4078233,12386.69362,0.061224292,0.067365323,17.80860669,0.074308063,1.178684195,0.034246575,0.410958904,46000906200,42160179015,12,3/31/2024,24.55192693
290,BSC,2024,2,191.2918851,12577.98551,0.056517551,0.061520399,19.23475541,0.087451865,1.160758215,0.034246575,0.455479451,46000906200,43427901052,13.3,6/30/2024,24.55192693
291,BST,2024,1,65.93592182,12868.19142,0.077030124,0.135753787,7.584040284,0.36971884,1.080182875,0.071942446,1.064748201,15290000000,22458247929,14.8,3/31/2024,23.45046486
292,BST,2024,2,363.0468555,13231.23828,0.078070321,0.128716204,9.768848504,0.357341684,1.284838172,0.058823529,0.905882353,18700000000,22647123255,15.4,6/30/2024,23.65178936
293,BST,2024,3,802.2559991,14033.49427,0.078697725,0.128807642,8.772789829,0.382315104,1.090248779,0.065359477,1.006535947,16830000000,24991454063,15.4,9/30/2024,23.54642885
294,BST,2023,1,257.0659182,12699.70196,0.080538298,0.143378571,10.1815794,0.329948093,1.503972303,0.062827225,1.003979057,21010000000,20848641744,15.98,3/31/2023,23.76826435
295,BST,2023,2,455.6174527,13155.31941,0.090408883,0.156571342,8.301583878,0.505426078,1.307455902,0.069767442,1.043720931,18920000000,29259228398,14.96,6/30/2023,23.6634854
296,BST,2023,3,798.4525591,13953.77197,0,0,9.708292131,0.399502336,1.318639866,0.065217391,1.17,20240000000,25560714198,17.94,9/30/2023,23.73092668
297,BST,2023,4,512.7902382,14102.2555,0.084694916,0.146423159,7.164292961,0.437149993,1.028204318,0.082758621,1.300137931,15950000000,27412063025,15.71,12/31/2023,23.49272467
298,BST,2022,1,258.5290273,12299.2451,0.058849672,0.110127662,13.34729621,0.253357118,1.520418518,0.058823529,0.814705882,20570000000,18120000784,13.85,3/31/2022,23.74709954
299,BST,2022,2,259.6605236,12558.90562,0,0,15.01665553,0.553087991,1.433245901,0.061111111,0.724777778,19800000000,30911669228,11.86,6/30/2022,23.70894777
300,BST,2022,3,975.0593255,13533.96495,0.076478232,0.129427351,8.592697643,0.417689195,1.056600934,0.076923077,1.198461538,15730000000,25566005822,15.58,9/30/2022,23.47883555
301,BST,2022,4,384.1510836,13542.63604,0.089189414,0.141246292,7.510386865,0.407927564,1.041156239,0.085106383,1.163404256,15510000000,25160603232,13.67,12/31/2022,23.46475081
302,BST,2021,1,238.5040218,12057.02774,0.079189287,0.128768616,10.5067008,0.241736736,1.393378233,0.071428571,0.955714285,18480000000,17490931095,13.38,3/31/2021,23.6399549
303,BST,2021,2,462.0243045,12519.05204,0.088455589,0.155367639,7.923996911,0.56670559,1.238112914,0.077419355,1.099354838,17050000000,31781986864,14.2,6/30/2021,23.55941604
304,BST,2021,3,509.5245691,13028.57661,0.057826998,0.105552082,12.47544212,0.574737841,1.2741223,0.072289157,0.871084337,18260000000,33700233999,12.05,9/30/2021,23.62797871
305,BST,2021,4,170.9549155,13040.71607,0.077046372,0.106809622,13.61324668,0.321710679,1.441638626,0.058510638,0.884095745,20680000000,21148479318,15.11,12/31/2021,23.75243289
306,BST,2020,1,29.29216909,11723.85734,0.061298532,0.091961432,11.45982896,0.201113026,1.108850068,0.076923077,1.283076923,14300000000,16142762973,16.68,3/31/2020,23.38352537
307,BST,2020,2,104.9203327,11828.77767,0.050555576,0.075778284,12.91090432,0.442176699,1.014475065,0.083333333,0.804166666,13200000000,23325765356,9.65,6/30/2020,23.30348267
308,BST,2020,3,1134.993953,12963.77162,0.068398774,0.110525015,11.32556786,0.520756451,1.187925894,0.064935065,0.631818181,16940000000,29755536203,9.73,9/30/2020,23.55294353
309,BST,2020,4,120.56127,12818.52372,0.083591877,0.108808065,12.39179771,0.228200723,1.341808182,0.058139535,0.628488372,18920000000,18271984180,10.81,12/31/2020,23.6634854
310,BTS,2024,1,-449.0213048,9814.848179,-0.038249533,-0.105324814,-5.066002234,0.656347389,0.570564098,0,0,6.92E+11,3.53E+12,5.5,3/31/2024,27.26285179
311,BTS,2024,2,-325.081098,9489.767081,-0.045487253,-0.127860352,-4.027577709,0.653422301,0.547958654,0,0,6.43E+11,3.38E+12,5.4,6/30/2024,27.18941056
312,BTS,2024,3,-212.2520318,9277.515049,-0.044850422,-0.128344398,-3.931251096,0.655233585,0.528158669,0,0,6.05E+11,3.32E+12,5.3,9/30/2024,27.12849429
313,BTS,2023,1,-122.4407994,11384.37582,0.006366347,0.0146559,39.18530489,0.584198427,0.588525898,0.029850746,0.167761194,8.28E+11,3.38E+12,5.62,3/31/2023,27.44227899
314,BTS,2023,2,-139.3906023,11079.78796,-0.007526063,-0.018128591,-27.88679855,0.623725446,0.523475722,0.034482759,0.216896552,7.17E+11,3.64E+12,6.29,6/30/2023,27.29834168
315,BTS,2023,3,-256.9281004,10822.22859,-0.01875323,-0.047312919,-10.38065228,0.6304128,0.508213253,0.036363636,0.2,6.8E+11,3.62E+12,5.5,9/30/2023,27.24535864
316,BTS,2023,4,-260.0681114,10263.86948,-0.028214208,-0.071563187,-7.060221143,0.637457518,0.535860282,0.036363636,0.2,6.8E+11,3.5E+12,5.5,12/31/2023,27.24535864
317,BTS,2022,1,143.0437953,11782.76763,0.017327906,0.038916053,17.51368534,0.547073557,0.670470661,0.037974684,0.55556962,9.76E+11,3.21E+12,14.63,3/31/2022,27.60672842
318,BTS,2022,2,239.5755785,11854.86275,0.020157457,0.044752502,11.86196338,0.549834271,0.522992137,0.048387097,0.338709678,7.66E+11,3.25E+12,7,6/30/2022,27.36444801
319,BTS,2022,3,64.92001367,11919.1515,0.024992111,0.055021978,11.24426312,0.555440124,0.612459704,0.04109589,0.281917808,9.02E+11,3.31E+12,6.86,9/30/2022,27.52788036
320,BTS,2022,4,-11.07232837,11507.44789,0.016865111,0.037581433,13.74674188,0.57227777,0.521401448,0.05,0.3145,7.41E+11,3.32E+12,6.29,12/31/2022,27.33126646
321,BTS,2021,1,96.7563809,11403.57546,0.005193396,0.012601509,38.22676283,0.582820015,0.482304872,0.090909091,0.511818182,6.8E+11,3.38E+12,5.63,3/31/2021,27.24535864
322,BTS,2021,2,167.9723288,11501.54177,0.004424262,0.010527261,101.3418501,0.569910661,1.060727357,0.040983607,0.268032787,1.51E+12,3.3E+12,6.54,6/30/2021,28.04313077
323,BTS,2021,3,-61.6208708,11439.31979,-0.001557007,-0.003652773,-259.0627952,0.570312136,0.94411208,0.046296296,0.508796296,1.33E+12,3.29E+12,10.99,9/30/2021,27.91620006
324,BTS,2021,4,201.680568,11640.35511,0.015828184,0.0352795,32.11554426,0.529638275,1.116804417,0.038461539,0.401923077,1.61E+12,3.06E+12,10.45,12/31/2021,28.10725529
325,BTS,2020,1,95.42827998,11851.15854,0.01347949,0.034419399,12.4150035,0.601162485,0.421899681,0.1,0.309,6E+11,3.56E+12,3.09,3/31/2020,27.12019549
326,BTS,2020,2,191.4659668,11429.66095,0.016623098,0.041873234,8.580550893,0.602005289,0.358715803,0.12195122,0.397560976,5.07E+11,3.55E+12,3.26,6/30/2020,26.95177684
327,BTS,2020,3,100.4524823,11529.77351,0.016980334,0.042321184,8.654063259,0.593494538,0.364274285,0.119047619,0.486904762,5.19E+11,3.5E+12,4.09,9/30/2020,26.97516972
328,BTS,2020,4,-244.7965731,11307.15899,0.005101572,0.012303321,45.07364249,0.571700736,0.557169135,0,0,7.78E+11,3.26E+12,4.27,12/31/2020,27.37999236
329,BTW,2024,1,2555.357672,28687.46925,0.132064974,0.187636828,7.592546141,0.273247169,1.355992739,0.03470437,1.242069409,3.64E+11,3.69E+11,35.79,3/31/2024,26.6204197
330,BTW,2024,2,1943.069624,26925.17327,0.140134672,0.199309705,7.054205425,0.292722124,1.429888663,0.035064935,1.338428573,3.6E+11,3.56E+11,38.17,6/30/2024,26.60936987
331,BTW,2024,3,1572.800145,28497.97342,0.151901042,0.216281018,6.619871805,0.287947904,1.386063473,0.034177215,1.421772152,3.7E+11,3.75E+11,41.6,9/30/2024,26.63676884
332,BTW,2023,1,2096.367562,28399.55677,0.137492433,0.208872525,6.689468723,0.343719737,1.271146599,0.037396122,0.891149585,3.38E+11,4.05E+11,23.83,3/31/2023,26.54631173
