Company Code,Date,Basic Average Shares,Basic EPS,Cost Of Revenue,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Diluted Average Shares,Diluted EPS,EBIT,EBITDA,General And Administrative Expense,Gross Profit,Impairment Of Capital Assets,Interest Expense,Interest Expense Non Operating,Interest Income,Interest Income Non Operating,Minority Interests,Net Income,Net Income Common Stockholders,Net Income Continuous Operations,Net Income From Continuing And Discontinued Operation,Net Income From Continuing Operation Net Minority Interest,Net Income Including Noncontrolling Interests,Net Interest Income,Net Non Operating Interest Income Expense,Normalized EBITDA,Normalized Income,Operating Expense,Operating Income,Operating Revenue,Other Non Operating Income Expenses,Other Operating Expenses,Other Special Charges,Otherunder Preferred Stock Dividend,Pretax Income,Reconciled Cost Of Revenue,Reconciled Depreciation,Rent And Landing Fees,Rent Expense Supplemental,Research And Development,Selling And Marketing Expense,Selling General And Administration,Special Income Charges,Tax Effect Of Unusual Items,Tax Provision,Tax Rate For Calcs,Total Expenses,Total Operating Income As Reported,Total Other Finance Cost,Total Revenue,Total Unusual Items,Total Unusual Items Excluding Goodwill,Write Off
600028,2022-12-31 00:00:00,120889000000.0,0.547,2794662000000.0,120889000000.0,0.547,66933000000.0,110066000000.0,219972000000.0,14479000000.0,13754000000.0,-722000000.0,-14955000000.0,53604000000.0,462694000000.0,5669000000.0,15666000000.0,15666000000.0,6266000000.0,6266000000.0,-9566000000.0,66933000000.0,66933000000.0,76499000000.0,66933000000.0,66933000000.0,76499000000.0,-9400000000.0,-9400000000.0,227315000000.0,72883552510.59322,368087000000.0,94607000000.0,3257356000000.0,55809000000.0,7485000000.0,1222000000.0,277560000000.0,-13032000000.0,263991000000.0,0.0,94400000000.0,2794662000000.0,109906000000.0,2205000000.0,2205000000.0,103585000000.0,53604000000.0,8447000000.0,-1392447489.40678,17901000000.0,0.189629,3162749000000.0,75835000000.0,3257356000000.0,-7343000000.0,-7343000000.0,-1084000000.0
600029,2022-12-31 00:00:00,540000000.0,540000000.0,17201052632.0,-1.9,105862000000.0,24266000000.0,452000000.0,452000000.0,17201052632.0,-1.9,-32699000000.0,-29419000000.0,-5357000000.0,291000000.0,257000000.0,300000000.0,-4007000000.0,726000000.0,-18803000000.0,582000000.0,2107000000.0,2107000000.0,457000000.0,457000000.0,1016000000.0,-32682000000.0,-32682000000.0,-33698000000.0,-32682000000.0,-32682000000.0,-33698000000.0,-1722000000.0,-1722000000.0,-4720000000.0,-32204250000.0,4074000000.0,-22877000000.0,87059000000.0,3267000000.0,-2935000000.0,-3226000000.0,416000000.0,-330000000.0,244000000.0,0.0,-31526000000.0,105862000000.0,24062000000.0,9264000000.0,389000000.0,2060000000.0,2786000000.0,-249000000.0,-159250000.0,2172000000.0,0.25,109936000000.0,-32199000000.0,72000000.0,87059000000.0,-637000000.0,-637000000.0,-3000000.0
600030,2022-12-31 00:00:00,289668502.27,15012269213.0,1.42,1032498181.84,742829679.57,15012269213.0,1.42,17636308048.98,5971696936.87,NaN,15218022267.0,21023810114.58,-851364796.52,21317422282.16,21317422282.16,22168787078.68,NaN,21317422282.16,21317422282.16,22168787078.68,5805787847.58,21711157680.64773,36482407386.32,64435125222.92,140091629.81,7827254454.08,7143.31,28950204266.02,1639587117.64,NaN,476986385.44,6448683322.31,-514178794.38,-120443395.892269,6781417187.34,0.234244,64435125222.92,-514178794.38,-514178794.38,514171651.07
600031,2022-12-31 00:00:00,8452297084.0,0.5076,61170788000.0,455895000.0,455895000.0,8452297084.0,0.5076,5478123000.0,8045861000.0,545653000.0,19667742000.0,103987000.0,624868000.0,624868000.0,696432000.0,696432000.0,-131783000.0,4290386000.0,4290386000.0,4422169000.0,NaN,4290386000.0,4290386000.0,4422169000.0,26087000.0,26087000.0,9166113000.0,5311132626.045407,15117861000.0,4549881000.0,80838530000.0,362161000.0,416359000.0,-93172000.0,0.0,4853255000.0,61170788000.0,2567738000.0,6922913000.0,6301590000.0,6847243000.0,-571411000.0,-99505373.954593,431086000.0,0.088824,76288649000.0,4767846000.0,45477000.0,80838530000.0,-1120252000.0,-1120252000.0,560596000.0
600032,2022-12-31 00:00:00,2079992348.0,0.373,2112672071.32,15365797.39,15365797.39,0.373,2486391780.94,4134930740.59,58356473.48,2485396950.47,20924233.93,1187753978.83,1187753978.83,17425069.72,17425069.72,-374523080.79,775837145.83,775837145.83,1150360226.62,775837145.83,775837145.83,1150360226.62,-1170636407.9,-1170636407.9,4296991551.35,919393964.12775,312248383.83,2173148566.64,4598069021.79,21693574.07,56830263.67,151236.25,0.0,1298637802.11,2112672071.32,1648538959.65,20872768.14,58356473.48,-168680087.62,-18503992.46225,148277575.49,0.114179,2424920455.15,1276944228.04,307498.79,4598069021.79,-162060810.76,-162060810.76,147604617.44
600033,2022-12-31 00:00:00,2744588738.0,0.3062,1149747850.09,11712491.76,11712491.76,0.3062,1498645994.92,2307893819.86,35181755.57,1521904683.77,314261.82,91694094.41,91694094.41,-16773137.07,-16773137.07,-218180811.25,840393071.58,840393071.58,1058573882.83,NaN,840393071.58,840393071.58,1058573882.83,-343297.42,-343297.42,2308537349.1,840877255.32932,102385520.03,1419519163.74,2671652533.86,-68861238.19,16109687.05,NaN,0.0,1406951900.51,1149747850.09,809247824.94,3169840.0,3169840.0,35181755.57,-643529.24,-159345.49068,348378017.68,0.247612,1252133370.12,1400892181.36,-108123934.06,2671652533.86,-643529.24,-643529.24,329267.42
600035,2022-12-31 00:00:00,1605881092.0,0.45,1420395434.53,4625949.55,4625949.55,1605881092.0,0.45,1333995069.72,1972980909.83,50561903.28,1496755798.58,15203986.41,312532269.76,312532269.76,24986986.81,24986986.81,-24266158.45,722646491.27,722646491.27,746912649.72,NaN,722646491.27,722646491.27,746912649.72,-287894501.43,-287894501.43,2025754637.91,761235625.477706,143810252.07,1352945546.51,2917151233.11,247037.51,17352089.37,-2978989.25,0.0,1021462799.96,1420395434.53,638985840.11,1028175.27,1028175.27,15633579.65,2101558.96,52663462.24,-52773728.08,-14184593.872294,274550150.24,0.268781,1564205686.6,1021215762.45,349218.48,2917151233.11,-52773728.08,-52773728.08,40548730.92
600036,2022-12-31 00:00:00,1242000000.0,26238022814.0,5.26,5477000000.0,4235000000.0,26238022814.0,5.26,15338000000.0,107669000000.0,NaN,135145000000.0,353380000000.0,-1282000000.0,138012000000.0,138012000000.0,139294000000.0,138012000000.0,138012000000.0,139294000000.0,218235000000.0,138699557066.97836,122061000000.0,342258000000.0,-43000000.0,8686000000.0,165113000000.0,14606000000.0,229000000.0,107669000000.0,-815000000.0,-127442933.021628,25819000000.0,0.156372,342258000000.0,-815000000.0,-815000000.0,815000000.0
600037,2022-12-31 00:00:00,1387892.01,1391570908.0,0.2385,2222982803.0,15715436.42,14327544.41,1391570908.0,0.2385,358561615.2,1094365689.02,28180296.86,218700249.82,69045625.99,19595762.68,19595762.68,147764299.57,147764299.57,331889661.54,331889661.54,331889661.54,NaN,331889661.54,331889661.54,331889661.54,127982015.01,127982015.01,1198209693.39,433565836.904255,291209502.5,-72509252.68,2441683052.82,275803832.31,16278054.42,8828558.51,0.0,338965852.52,2222982803.0,735804073.82,65845952.38,130041262.87,158221559.73,-112162691.37,-2167829.005745,7076190.98,0.020876,2514192305.5,340906971.0,186521.88,2441683052.82,-103844004.37,-103844004.37,34288506.87
600038,2022-12-31 00:00:00,20019052.94,589477711.0,0.6581,17467888711.87,60186391.21,40167338.27,589477711.0,0.6581,428394233.09,708381615.97,106326282.1,2004969744.31,15248234.48,45044357.92,45044357.92,44475717.79,44475717.79,-133130.21,387935281.6,387935281.6,388068411.81,NaN,387935281.6,387935281.6,388068411.81,-3984103.57,-3984103.57,760656513.2,427141454.5225,1581338598.01,423631146.3,19472858456.18,11163823.29,64063484.65,-74202.83,0.0,383349875.17,17467888711.87,279987382.88,NaN,NaN,513115408.9,100891618.7,207217900.8,-43375891.21,-13068724.3075,-4718536.64,0.25,19049227309.88,372186051.88,3415463.44,19472858456.18,-52274897.23,-52274897.23,28201859.56
600039,2022-12-31 00:00:00,13622067.88,8008843686.0,1.4,112102623057.56,13622067.88,0.0,8008843686.0,1.4,16271731903.58,19267792762.15,410155326.25,23048540150.65,265366876.88,2614655615.19,2614655615.19,177737194.69,177737194.69,-153041796.56,11212381160.83,11212381160.83,11365422957.39,NaN,11212381160.83,11212381160.83,11365422957.39,-2576003333.22,-2576003333.22,19926546267.32,11760596024.159498,6454827683.02,16593712467.63,135151163208.21,41717599.02,586631456.23,-35666.09,0.0,13657076288.39,112102623057.56,2996060858.57,4427556445.22,20973062.09,431128388.34,-651613678.77,-110538641.840502,2291653331.0,0.1678,118557450740.58,13615358689.37,139084912.72,135151163208.21,-658753505.17,-658753505.17,386282467.98
600048,2022-12-31 00:00:00,11973962022.0,1.53,219228007856.41,398637696.91,398637696.91,11973962022.0,1.53,40807538231.01,42938503752.95,706970702.28,61880230429.87,1155622467.32,5506935348.44,5506935348.44,3223599460.06,3223599460.06,-8667287729.42,18320161893.65,18320161893.65,26987449623.07,NaN,18320161893.65,18320161893.65,26987449623.07,-2838006797.34,-2838006797.34,44244865263.36,19318880401.914207,26395173894.99,35485056534.88,281108238286.28,607374796.09,13121194389.93,-112929198.07,0.0,35300602882.57,219228007856.41,2130965521.94,1238476298.02,7198469840.06,7905440542.34,-1164512655.8,-307643002.145792,8313153259.5,0.235496,245623181751.4,34693228086.48,554670908.96,281108238286.28,-1306361510.41,-1306361510.41,121819386.55
