Comp_data,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Stock Price
AMV,2020,1,1336.21451,19277.17457,0.307473646,0.340716593,2.397460474,0.142691978,0.793684777,0.130718954,0.869281045,5.81E+11,9.20E+11,6.65
AMV,2020,2,88.28938479,13862.51949,0.265239108,0.293834144,3.192458371,0.084857571,0.959421555,0.15037594,1.565413533,7.07E+11,8.66E+11,10.41
AMV,2020,3,0,0,0,0,0,0.095919622,0,0,0,0,8.93E+11,10.41
AMV,2020,4,51.45702388,8406.808452,0.094418496,0.105066106,3.67867441,0.105061364,0.975399885,0,0,7.47E+11,9.08E+11,13.05
API,2024,1,-140.0352504,10642.54186,-0.028127925,-0.070284146,-9.968362206,0.589899577,0.723511366,0,0,6.47E+11,2.24E+12,5.2
API,2024,2,-149.0823788,10493.45948,-0.028204066,-0.069799918,-10.49805666,0.57359692,0.752849908,0,0,6.64E+11,2.13E+12,7.3
API,2024,3,-79.17744867,10414.28203,-0.023843463,-0.058753522,-12.35878074,0.576395937,0.73936926,0,0,6.47E+11,2.13E+12,9.2
API,2023,1,52.58901362,11499.24573,0.030446126,0.083099191,6.836994895,0.587229807,0.54786202,0,0,5.30E+11,2.40E+12,8.5
API,2023,2,-169.0059916,11330.23974,0.024310437,0.06399122,8.320653751,0.591855455,0.529556315,0,0,5.05E+11,2.39E+12,7.6
API,2023,3,-208.6588713,11121.58087,0.011607266,0.029292249,16.84141998,0.585511267,0.503525539,0,0,4.71E+11,2.31E+12,6
API,2023,4,-254.7437287,10782.57711,-0.023167927,-0.059748313,-6.776296016,0.590777433,0.417339932,0,0,3.78E+11,2.29E+12,5.7
API,2022,1,1259.834771,23273.15415,0.082923814,0.321746223,5.668716149,0.664942175,1.564033812,0,0,1.39E+12,2.67E+12,32.09
API,2022,2,31.35429043,10610.06374,0.080956965,0.277021346,4.364143182,0.654453531,1.11215166,0,0,9.92E+11,2.59E+12,15.68
API,2022,3,179.9247845,10789.98853,0.072655843,0.220162081,3.7601261,0.654244618,0.815570839,0,0,7.40E+11,2.65E+12,15.2
API,2022,4,657.5893788,11446.65672,0.044992795,0.132367223,8.016096842,0.611339175,0.987187812,0,0,9.50E+11,2.54E+12,8.6
API,2021,1,481.2300392,15547.66546,0.022392595,0.115796708,10.08924249,0.79478929,1.144866414,0.016853933,0.180337079,6.30E+11,2.70E+12,10.7
API,2021,2,320.5745038,15568.74993,0.020545134,0.104590835,29.65899027,0.798278103,3.083099171,0.00625,0.0584375,1.70E+12,2.75E+12,9.35
API,2021,3,1139.191244,16034.94464,0.030541387,0.153601819,25.1513008,0.797338782,3.804191493,0.004918033,0.099934426,2.33E+12,2.95E+12,20.32
API,2021,4,3389.526661,22013.31938,0.06960722,0.291535131,10.78872309,0.703494976,2.780135014,0.004901961,0.169313726,2.34E+12,2.85E+12,34.54
API,2020,1,331.8795654,14255.14613,0.014043403,0.070378726,9.420445546,0.810394106,0.631350946,0,0,3.19E+11,2.66E+12,3.67
API,2020,2,466.4335536,14721.61758,0.023987333,0.123552509,5.6588485,0.810663453,0.665687717,0,0,3.47E+11,2.75E+12,4.07
API,2020,3,407.439757,15129.05237,0.032569716,0.168208326,7.725137325,0.806715958,1.249252071,0,0,6.73E+11,2.79E+12,4.33
API,2020,4,409.1519963,15066.43542,0.019071973,0.099833085,17.77063315,0.813678388,1.665954773,0,0,8.89E+11,2.91E+12,6.32
APS,2024,1,97.90163451,9510.717284,-0.237662388,-0.242631378,-3.339354936,0.014802023,0.820127417,0,0,6.47E+11,8.01E+11,6.7
APS,2024,2,325.701324,9836.418608,-0.000310116,-0.000316276,-2304.984148,0.014496037,0.711641125,0,0,5.81E+11,8.28E+11,7.1
APS,2024,3,169.9074176,10006.32603,0.055692899,0.056651442,11.44614439,0.011967559,0.629601712,0,0,5.23E+11,8.41E+11,7.4
APS,2023,1,362.1760845,11942.68597,-0.437514094,-0.444562356,-1.109291858,0.01018,0.519146197,0,0,5.15E+11,1.00E+12,9.7
APS,2023,2,-2007.042236,12135.86737,-0.283564619,-0.287591077,-6.059136925,0.018462626,0.58504265,0,0,5.89E+11,8.40E+11,8.7
APS,2023,3,-383.5331604,9552.110574,-0.352714823,-0.358383189,-1.660129167,0.022036138,0.670008994,0,0,5.31E+11,8.11E+11,7
APS,2023,4,-43.10669534,9412.81565,-0.20241574,-0.206512707,-2.860181981,0.026623688,0.65867645,0,0,5.15E+11,8.11E+11,6.7
APS,2022,1,558.0866973,17548.81729,0.499926893,0.543749773,1.707779354,0.073960924,0.820568119,0,0,1.20E+12,1.57E+12,30.6
APS,2022,2,-4224.18583,13324.63146,0.167129071,0.180151567,3.379613187,0.024244816,0.705460412,0,0,7.80E+11,1.13E+12,12.7
APS,2022,3,99.58087561,13424.21234,0.096785214,0.103673076,5.94650032,0.013934322,0.70767653,0,0,7.89E+11,1.13E+12,13.5
APS,2022,4,-1826.722403,11580.50989,-0.347063904,-0.378717943,-2.218024115,0.014156545,1.036223803,0,0,9.96E+11,9.76E+11,8.5
