Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
600693.SS,"Fujian Dongbai (Group) Co.,Ltd.",Consumer Cyclical,Department Stores,2020,0.2352,3.784245431,0.015280177,3.495381122,0,17.61325971,0.463538344,1.094706662,0,3603457754,13391844560,4.142638683
600694.SS,"Dashang Co., Ltd.",Consumer Cyclical,Department Stores,2020,1.545455,27.71565577,0.023079022,2.419196061,0.7,10.76527683,0.264576343,0.600283502,0.042074259,5208341173,21638819823,16.6372509
600697.SS,"Chang Chun Eurasia Group Co., Ltd.",Consumer Cyclical,Department Stores,2020,0.14,20.46601959,0.001013866,4.177292547,0.4,89.98156956,0.344629922,0.615528568,0.031752534,2004098311,22401846912,12.59741974
600699.SS,Ningbo Joyson Electronic Corp.,Consumer Cyclical,Auto Parts,2020,0.49,10.76807523,0.010803045,2.929705161,0.07,50.12648446,0.377312633,2.280999795,0.002849933,34600458330,57037044065,24.56197739
600702.SS,"Shede Spirits Co., Ltd.",Consumer Defensive,Beverages - Wineries & Distilleries,2020,1.7452,10.74586472,0.090043147,1.706809854,0.20028,46.88861418,0.069104822,7.615023226,0.002447513,27263140592,6453963534,81.83000946
600703.SS,"Sanan Optoelectronics Co.,Ltd",Technology,Semiconductors,2020,0.24,5.947985839,0.026071634,1.313590415,0.1,110.8912071,0.062791213,4.474437299,0.003757436,1.32777E+11,38980298068,26.61388969
600704.SS,"Wuchan Zhongda Group Co.,Ltd.",Industrials,Conglomerates,2020,0.52,5.176663485,0.025541665,3.170920645,0.25,7.325781309,0.161689534,0.73588061,0.065627025,19780571164,1.075E+11,3.809406281
600705.SS,"AVIC Industry-Finance Holdings Co., Ltd.",Financial Services,Capital Markets,2020,0.37,4.517266296,0.008621554,6.01722928,0.105,10.77634902,0.368422345,0.882668604,0.026333945,35172243992,3.79757E+11,3.987249136
600708.SS,"Bright Real Estate Group Co.,Limited",Real Estate,Real Estate - Development,2020,-0.0343,6.243422925,0.001208803,6.045873441,0.1,-72.72862137,0.419562357,0.399555139,0.04008672,5559546875,88391650812,2.494591713
600710.SS,Sumec Corporation Limited,Industrials,Farm & Heavy Construction Machinery,2020,0.42,3.994576152,0.011784206,4.223452212,0.102,11.32507438,0.172989904,1.190747418,0.021444198,6215596968,46351904631,4.756531239
600711.SS,"Chengtun Mining Group Co., Ltd.",Basic Materials,Other Industrial Metals & Mining,2020,0.0255,3.455485876,0.002541713,2.074014641,0.042,354.6909257,0.175658751,2.617466525,0.004643645,27953387988,23247312859,9.044618607
600713.SS,NanJing Pharmaceutical Company Limited,Healthcare,Drug Manufacturers - General,2020,0.361,3.251695747,0.015925942,4.903440061,0.1,11.05545763,0.269585359,1.227365816,0.02505625,5225562673,23635217564,3.991020203
600714.SS,"Qinghai Jinrui Mining Development Co., Ltd",Basic Materials,Other Industrial Metals & Mining,2020,0.012,2.151776735,0.005208275,1.108534372,0,440.8429464,nan,2.458487105,0,1524484283,687391535.6,5.290115356
