,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q3 2021,5279,-259.56,-0.04,-,37468,9489,27979,3.96,18107,-,0.76,0.54,1.07%,1.39%,2.03%,-,525,2021-09-30 00:00:00,1.389,0525
Q2 2021,5254,97.65,0.01,-,36679,8519,28161,3.98,16573,228.20,0.74,0.49,-0.73%,-1.32%,0.44%,-,525,2021-06-30 00:00:00,1.457,0525
Q1 2021,4414,-93.37,-0.01,-,36867,8779,28088,3.97,17361,-,0.86,0.52,-2.93%,8.00%,-1.29%,-,525,2021-03-31 00:00:00,1.485,0525
Q4 2020,4801,558.91,0.08,-,36780,8624,28156,3.98,16906,-25.52,0.87,0.51,-4.38%,-7.22%,-3.92%,-,525,2020-12-31 00:00:00,1.36,0525
Q3 2020,4092,-502.8,-0.07,-,35991,8392,27598,3.90,16841,-,0.86,0.53,-2.16%,-2.14%,-8.42%,-,525,2020-09-30 00:00:00,1.264,0525
Q2 2020,3689,-151.91,-0.02,-,36454,8352,28101,3.97,16028,-,0.79,0.52,-3.16%,-6.38%,-4.30%,-,525,2020-06-30 00:00:00,1.399,0525
Q1 2020,3768,-462.07,-0.07,-,36258,7580,28678,4.05,17024,-,0.78,0.54,-0.70%,-1.74%,-0.67%,-,525,2020-03-31 00:00:00,1.521,0525
Q4 2019,,,,,,,,,,,,,,,,,525,2019-12-31 00:00:00,2.305,0525
Q3 2024,5543,-874.81,-1.12,-,206449,120109,86340,108.24,23500,-,0.65,0.25,-0.08%,-3.33%,-15.94%,-,6623,2024-09-30 00:00:00,14.0,6623
Q2 2024,5976,-792.07,-1.38,-,216930,134254,82676,141.28,10614,-,0.28,0.12,0.56%,-3.56%,-24.43%,-,6623,2024-06-30 00:00:00,9.23,6623
Q1 2024,6964,-870.46,-1.52,-,229906,137081,92825,159.33,18933,-,0.45,0.19,11.91%,-3.54%,-3.75%,-,6623,2024-03-31 00:00:00,16.214,6623
Q4 2023,14283,-844.24,-1.49,-,237023,143339,93684,160.76,13746,-,0.30,0.13,0.37%,0.55%,7.11%,-,6623,2023-12-31 00:00:00,11.382,6623
Q3 2023,8050,93.78,0.16,0.007,259177,164851,94325,158.32,19030,19.36,0.35,0.19,1.09%,4.23%,5.16%,32.19%,6623,2023-09-30 00:00:00,15.994,6623
Q2 2023,9270,965.35,1.68,1.131,280881,186064,94818,162.84,25690,11.06,0.43,0.25,0.93%,3.09%,9.04%,72.61%,6623,2023-06-30 00:00:00,21.687,6623
Q1 2023,10078,671.98,1.18,-,325597,230628,94968,163.85,36647,7.84,0.52,0.34,12.94%,-3.40%,12.76%,-,6623,2023-03-31 00:00:00,,6623
Q4 2022,23230,-815.29,-1.42,1.232,349263,254476,94787,162.64,34617,-,0.44,0.32,1.68%,5.63%,28.41%,-,6623,2022-12-31 00:00:00,,6623
Q3 2022,13193,1327,2.32,4.838,370669,275572,95097,163.51,45629,3.33,0.59,0.43,3.64%,11.92%,30.04%,-,6623,2022-09-30 00:00:00,,6623
Q2 2022,15288,2909,5.08,-,370660,273422,97238,167.09,107750,6.04,1.27,0.95,4.91%,21.77%,16.55%,-,6623,2022-06-30 00:00:00,,6623
Q1 2022,17316,5279,8.56,-,377983,278118,99865,172.12,107416,5.09,1.20,0.87,12.09%,12.33%,19.65%,-,6623,2022-03-31 00:00:00,,6623
Q4 2021,24146,2906,5.02,8.639,360433,265874,94559,162.65,108098,5.24,1.26,0.93,5.08%,17.85%,19.08%,-,6623,2021-12-31 00:00:00,,6623
Q3 2021,15924,4129,6.62,-,334207,240880,93327,156.10,133801,6.60,1.75,1.19,5.37%,21.11%,15.15%,-,6623,2021-09-30 00:00:00,,6623
Q2 2021,14828,4774,7.44,-,308944,217870,91074,150.08,216075,12.11,2.97,1.97,6.75%,23.20%,8.26%,-,6623,2021-06-30 00:00:00,,6623
Q1 2021,15251,4995,7.82,-,279928,191768,88160,144.92,277972,17.80,4.02,2.66,10.24%,15.81%,5.62%,-,6623,2021-03-31 00:00:00,,6623
Q4 2020,17360,2886,5.00,-,248890,165739,83151,141.28,268433,18.30,4.03,2.72,6.38%,14.64%,5.47%,-,6623,2020-12-31 00:00:00,,6623
Q3 2020,13076,2184,4.02,-,209704,148731,60973,109.22,-,-,-,-,-,23.50%,-,-,6623,2020-09-30 00:00:00,,6623
Q2 2020,12637,3094,5.70,-,192138,135240,56898,101.67,-,-,-,-,-,34.77%,-,-,6623,2020-06-30 00:00:00,,6623
Q1 2020,13046,4189,7.68,-,-,-,48145,87.99,-,-,-,-,-,-,-,-,6623,2020-03-31 00:00:00,,6623
Q4 2019,,,,,,,,,,,,,,,,,6623,2019-12-31 00:00:00,,6623
Q3 2024,49698,1124,0.14,-,172070,86820,85250,7.58,18035,7.70,0.09,0.19,8.41%,16.29%,12.99%,-,1958,2024-09-30 00:00:00,2.25,1958
Q2 2024,47800,943.14,0.12,-,170361,88655,81706,7.43,16031,6.90,0.08,0.18,8.25%,17.09%,14.50%,-,1958,2024-06-30 00:00:00,2.0,1958
Q1 2024,46522,1035,0.13,-,173653,89635,84019,7.38,17153,6.06,0.08,0.19,2.35%,1.91%,16.49%,-,1958,2024-03-31 00:00:00,1.997,1958
Q4 2023,43539,-987.14,-0.12,0.130,168723,89340,79384,7.11,18275,-,0.08,0.21,12.35%,22.94%,18.27%,6.73%,1958,2023-12-31 00:00:00,2.128,1958
Q3 2023,55363,1172,0.15,-,171459,87649,83810,7.13,18996,3.54,0.09,0.21,9.56%,21.60%,28.24%,-,1958,2023-09-30 00:00:00,2.212,1958
Q2 2023,51351,1390,0.17,-,175068,95482,79586,7.01,15229,2.89,0.07,0.18,8.72%,20.51%,34.65%,-,1958,2023-06-30 00:00:00,1.773,1958
Q1 2023,47696,1455,0.18,-,174491,91297,83194,6.98,17473,3.74,0.08,0.18,8.39%,19.41%,26.72%,-,1958,2023-03-31 00:00:00,1.848,1958
Q4 2022,48585,981.5,0.12,0.170,173375,94438,78937,6.80,16592,3.50,0.08,0.19,11.66%,24.60%,28.59%,10.95%,1958,2022-12-31 00:00:00,1.755,1958
Q3 2022,58199,1057,0.13,-,178636,98203,80433,6.67,13786,2.84,0.06,0.16,7.21%,15.84%,35.24%,-,1958,2022-09-30 00:00:00,1.458,1958
Q2 2022,37948,591.52,0.07,-,177474,101001,76473,6.64,20920,5.48,0.11,0.23,8.99%,23.73%,18.24%,-,1958,2022-06-30 00:00:00,2.054,1958
Q1 2022,45731,1567,0.20,-,174490,95500,78990,6.69,21080,4.66,0.10,0.22,8.30%,21.85%,21.47%,-,1958,2022-03-31 00:00:00,2.07,1958
Q4 2021,52043,1189,0.15,0.160,180844,105957,74887,6.56,26851,5.67,0.12,0.29,4.79%,9.03%,17.64%,7.45%,1958,2021-12-31 00:00:00,2.636,1958
Q3 2021,33497,-88.43,-0.01,-,174836,96983,77853,6.58,21641,-,0.11,0.23,8.02%,20.51%,16.62%,-,1958,2021-09-30 00:00:00,2.125,1958
Q2 2021,40565,997.6,0.12,-,190467,109058,81409,6.55,23164,5.15,0.10,0.24,10.16%,27.36%,19.42%,-,1958,2021-06-30 00:00:00,2.274,1958
Q1 2021,49811,1760,0.22,-,192056,115533,76523,6.33,19958,4.62,0.09,0.22,7.54%,18.05%,22.33%,-,1958,2021-03-31 00:00:00,1.896,1958
Q4 2020,42543,307.74,0.02,0.080,193703,120109,73594,6.12,23004,10.11,0.11,0.26,9.22%,22.35%,10.47%,4.35%,1958,2020-12-31 00:00:00,2.224,1958
Q3 2020,56575,674.13,0.10,-,191789,120430,71358,6.25,25248,6.14,0.13,0.31,8.95%,22.85%,16.78%,-,1958,2020-09-30 00:00:00,2.399,1958
Q2 2020,44745,1013,0.11,-,196561,129289,67272,5.93,26851,6.37,0.15,0.36,4.37%,9.63%,16.15%,-,1958,2020-06-30 00:00:00,2.551,1958
Q1 2020,33109,33.67,0.00,-,187419,113052,74367,6.29,24687,4.85,0.14,0.30,6.08%,24.98%,21.11%,-,1958,2020-03-31 00:00:00,2.229,1958
Q4 2019,,,,,,,,,,,,,,,,,1958,2019-12-31 00:00:00,3.199,1958
Q3 2024,1608,328.55,0.06,-,28001,7798,20203,3.45,20944,11.99,2.80,0.94,4.73%,11.83%,8.34%,-,3369,2024-09-30 00:00:00,2.06,3369
Q2 2024,1748,576.34,0.10,-,28697,8833,19864,3.39,17823,10.18,2.39,0.84,4.17%,9.06%,9.82%,-,3369,2024-06-30 00:00:00,1.859,3369
Q1 2024,1714,433.95,0.08,-,28424,8583,19841,3.38,17990,10.73,2.36,0.84,1.91%,4.67%,9.32%,-,3369,2024-03-31 00:00:00,1.592,3369
Q4 2023,1693,238.66,0.04,0.083,28026,8654,19372,3.30,16050,9.51,2.07,0.75,3.65%,8.15%,10.51%,7.16%,3369,2023-12-31 00:00:00,1.278,3369
Q3 2023,1778,379.81,0.07,-,28129,8870,19260,3.28,17597,11.07,2.34,0.85,5.31%,11.00%,9.03%,-,3369,2023-09-30 00:00:00,1.211,3369
Q2 2023,1858,494.84,0.09,-,28299,9453,18846,3.20,18504,11.35,2.41,0.91,4.28%,9.41%,8.81%,-,3369,2023-06-30 00:00:00,1.223,3369
Q1 2023,1726,417.88,0.07,-,28260,9543,18717,3.18,16349,10.29,2.04,0.76,2.78%,4.69%,9.72%,-,3369,2023-03-31 00:00:00,1.043,3369
Q4 2022,1633,188.75,0.03,0.071,27941,9716,18225,3.10,15695,10.61,2.01,0.76,3.70%,9.74%,9.42%,8.19%,3369,2022-12-31 00:00:00,0.98,3369
Q3 2022,1900,407.93,0.07,-,28259,10276,17983,3.06,14810,11.33,1.89,0.75,4.87%,8.88%,8.82%,-,3369,2022-09-30 00:00:00,0.917,3369
Q2 2022,1738,375.9,0.07,-,28099,10582,17517,2.98,16759,13.61,2.12,0.82,3.89%,7.66%,7.35%,-,3369,2022-06-30 00:00:00,1.011,3369
Q1 2022,1648,335.84,0.06,-,27945,10693,17252,2.94,17259,13.34,2.12,0.81,3.48%,1.47%,7.49%,-,3369,2022-03-31 00:00:00,1.002,3369
Q4 2021,1799,64.62,0.01,0.056,27777,10867,16910,2.87,17280,13.56,2.13,0.83,2.83%,6.36%,7.38%,6.42%,3369,2021-12-31 00:00:00,1.07,3369
Q3 2021,1548,274.93,0.04,-,27493,10715,16777,2.85,17828,14.72,2.25,0.88,4.28%,9.10%,6.79%,-,3369,2021-09-30 00:00:00,1.13,3369
Q2 2021,1604,371.74,0.07,-,27314,10809,16506,2.80,16463,12.24,2.04,0.83,4.00%,7.29%,8.17%,-,3369,2021-06-30 00:00:00,1.089,3369
Q1 2021,1644,327.11,0.06,-,26715,10304,16411,2.78,16886,13.30,2.12,0.87,3.26%,0.25%,7.52%,-,3369,2021-03-31 00:00:00,1.097,3369
Q4 2020,1760,28.79,0.01,0.064,26243,10144,16099,2.72,17012,14.39,2.22,0.89,4.27%,9.47%,6.95%,7.30%,3369,2020-12-31 00:00:00,1.041,3369
Q3 2020,1700,390.6,0.07,-,26085,9940,16145,2.73,15004,12.67,2.06,0.81,4.83%,7.92%,7.89%,-,3369,2020-09-30 00:00:00,0.961,3369
Q2 2020,1605,323.4,0.05,-,25476,9812,15664,2.64,14089,13.41,2.03,0.82,3.00%,5.14%,7.46%,-,3369,2020-06-30 00:00:00,0.953,3369
Q1 2020,1391,252.35,0.05,-,25721,9914,15807,2.66,14872,12.75,2.10,0.86,6.04%,0.68%,7.84%,-,3369,2020-03-31 00:00:00,0.911,3369
Q4 2019,,,,,,,,,,,,,,,,,3369,2019-12-31 00:00:00,1.081,3369
Q3 2024,81.96,-38.1,-0.01,-,51671,37469,14202,3.01,20342,-,10.50,1.29,0.43%,1.55%,0.91%,-,1375,2024-09-30 00:00:00,1.78,1375
Q2 2024,533.08,70.47,0.01,0.006,53199,38924,14275,3.03,13839,52.44,6.16,0.90,0.99%,3.50%,1.91%,2.17%,1375,2024-06-30 00:00:00,0.988,1375
Q1 2024,638.37,130.79,0.03,-,49034,34758,14277,3.02,14856,50.41,6.43,0.96,0.00%,0.01%,1.98%,-,1375,2024-03-31 00:00:00,1.028,1375
Q4 2023,495.48,3.78,0.00,0.014,51702,37551,14150,2.99,15873,68.09,7.40,1.02,0.28%,1.08%,1.47%,1.42%,1375,2023-12-31 00:00:00,1.086,1375
Q3 2023,423.85,40.54,0.00,-,52597,38438,14159,3.00,16014,70.36,7.34,1.05,0.71%,2.75%,1.42%,-,1375,2023-09-30 00:00:00,1.116,1375
Q2 2023,574.24,96.78,0.02,-,56264,42137,14127,2.99,15147,35.11,6.67,0.99,0.51%,1.86%,2.85%,-,1375,2023-06-30 00:00:00,1.086,1375
Q1 2023,453.09,70.5,0.02,-,53811,39553,14258,2.98,16042,88.49,7.27,0.98,0.10%,0.35%,1.13%,-,1375,2023-03-31 00:00:00,1.128,1375
Q4 2022,583.05,4.26,-0.00,0.007,50183,35975,14207,2.96,15537,128.96,7.40,0.97,1.76%,6.42%,0.78%,0.72%,1375,2022-12-31 00:00:00,1.098,1375
Q3 2022,491.95,227.76,0.04,-,48083,33896,14187,2.96,14483,110.51,5.55,0.93,-1.06%,-4.09%,0.90%,-,1375,2022-09-30 00:00:00,0.982,1375
Q2 2022,402.2,-143.88,-0.03,-,54693,40752,13941,2.90,18430,-,5.50,1.13,0.10%,0.37%,1.01%,-,1375,2022-06-30 00:00:00,1.293,1375
Q1 2022,380.57,18.43,0.00,-,54088,39936,14152,2.95,21392,42.17,4.67,1.22,0.35%,1.31%,2.37%,-,1375,2022-03-31 00:00:00,1.335,1375
Q4 2021,1088,16.46,0.00,0.021,53748,39604,14144,2.95,22452,35.64,4.15,1.29,1.99%,7.52%,2.81%,3.49%,1375,2021-12-31 00:00:00,1.335,1375
Q3 2021,990.02,267.79,0.06,-,54816,40233,14583,2.97,21730,34.97,4.11,1.23,0.78%,2.96%,2.86%,-,1375,2021-09-30 00:00:00,1.334,1375
Q2 2021,1252,108,0.02,0.017,54273,39959,14313,2.91,21961,60.38,4.44,1.28,0.95%,3.55%,1.66%,2.98%,1375,2021-06-30 00:00:00,1.372,1375
Q1 2021,1074,120.96,0.03,-,53829,39518,14311,2.91,20189,58.19,4.64,1.19,0.04%,0.13%,1.72%,-,1375,2021-03-31 00:00:00,1.381,1375
Q4 2020,1058,17.55,-0.00,0.017,52377,38190,14186,2.88,30750,248.25,8.55,1.83,-,-,0.40%,1.30%,1375,2020-12-31 00:00:00,1.576,1375
Q3 2020,731.15,55.9,0.01,-,48269,34052,14217,2.88,22892,-4891.94,8.45,1.41,-,-,-0.02%,-,1375,2020-09-30 00:00:00,1.307,1375
Q2 2020,803.76,97.98,0.02,-,-,-,-,-,15293,-92.40,6.38,-,-,-2.27%,-1.08%,-,1375,2020-06-30 00:00:00,1.168,1375
Q1 2020,433.35,-67.12,-0.02,-,-,-,10498,2.50,15828,-,7.03,1.38,-0.94%,-3.92%,-0.89%,-,1375,2020-03-31 00:00:00,1.177,1375
Q4 2019,,,,,,,,,,,,,,,,,1375,2019-12-31 00:00:00,1.705,1375
Q3 2024,81.62,-4.37,-0.01,-,1116,125.95,989.75,1.74,7177,-,3.29,0.93,-1.90%,1.26%,-1.69%,-,2391,2024-09-30 00:00:00,13.972,2391
Q2 2024,73.28,3.13,0.01,-,1090,89.78,999.87,1.79,7446,-59.10,3.66,0.95,-3.82%,-1.45%,-1.69%,-,2391,2024-06-30 00:00:00,13.313,2391
Q1 2024,61.66,-3.54,-0.01,-,1077,94.83,982.39,1.76,7600,-,3.98,0.99,-5.58%,-4.48%,-4.41%,-,2391,2024-03-31 00:00:00,14.131,2391
Q4 2023,64.41,-10.82,-0.02,-,1066,95.84,970.57,1.74,9970,-,5.55,1.31,-0.85%,-2.05%,-4.73%,-,2391,2023-12-31 00:00:00,16.766,2391
Q3 2023,61.09,-4.91,-0.01,-,1049,87.58,961.46,1.73,6736,-,4.08,0.89,-7.55%,-9.86%,-8.40%,-,2391,2023-09-30 00:00:00,11.756,2391
Q2 2023,57,-23.55,-0.04,-,1039,87.12,952.22,1.71,8179,-,5.36,1.10,-7.70%,-8.76%,-9.58%,-,2391,2023-06-30 00:00:00,14.71,2391
Q1 2023,47.49,-21.05,-0.04,-,1042,82.94,958.67,1.73,8170,-,5.20,1.09,-7.72%,-9.37%,-10.79%,-,2391,2023-03-31 00:00:00,14.551,2391
Q4 2022,45.29,-22.73,-0.04,-,1056,93.97,962.17,1.74,8214,-,5.06,1.09,-9.31%,-13.24%,-13.88%,-,2391,2022-12-31 00:00:00,12.555,2391
Q3 2022,45.02,-32.62,-0.06,-,1070,92.29,977.52,1.76,4036,-,2.16,0.53,-8.72%,-14.03%,-33.51%,-,2391,2022-09-30 00:00:00,7.585,2391
Q2 2022,62.55,-35.87,-0.07,-,1102,108.08,993.54,1.82,11578,-,5.30,1.48,-11.51%,-20.30%,-12.71%,-,2391,2022-06-30 00:00:00,,2391
Q1 2022,55.32,-54.95,-0.10,-,1162,110.15,1052,1.89,13093,-,5.56,1.59,-10.08%,-17.12%,-11.36%,-,2391,2022-03-31 00:00:00,,2391
Q4 2021,74.97,-48.84,-0.09,-,1248,134.49,1114,1.99,27280,-,11.58,3.14,-9.18%,-16.00%,-5.01%,-,2391,2021-12-31 00:00:00,,2391
Q3 2021,85.58,-47.92,-0.09,-,1309,141.03,1168,2.08,39525,-,17.50,4.35,-7.73%,-12.47%,-2.86%,-,2391,2021-09-30 00:00:00,,2391
Q2 2021,84.66,-38.13,-0.07,-,1370,142.23,1227,2.19,106501,-,52.02,11.17,-13.03%,-23.35%,-0.80%,-,2391,2021-06-30 00:00:00,,2391
Q1 2021,56.87,-40.53,-0.15,-,1317,96.91,1220,4.55,92002,-,54.33,9.70,-17.60%,-41.82%,-0.73%,-,2391,2021-03-31 00:00:00,,2391
Q4 2020,63.02,-18.38,-0.08,-,267.32,98.32,169,-0.74,-,-,-,-,-,-,-,-,2391,2020-12-31 00:00:00,,2391
Q3 2020,59.08,-13.15,-0.06,-,263.95,81.32,182.63,-0.68,-,-,-,-,-,-,-,-,2391,2020-09-30 00:00:00,,2391
Q2 2020,38.83,-14.74,-0.07,-,-,-,-,-,-,-,-,-,-,-36.93%,-,-,2391,2020-06-30 00:00:00,,2391
Q1 2020,18.95,-20.64,-0.09,-,-,-,223.57,-0.50,-,-,-,-,Upgrade,Upgrade,-,-,2391,2020-03-31 00:00:00,,2391
Q4 2019,,,,,,,,,,,,,,,,,2391,2019-12-31 00:00:00,,2391
Q2 2024,3419,368.76,0.11,0.040,11470,6813,4656,1.40,15369,10.13,1.08,3.07,10.75%,33.67%,9.87%,3.63%,2669,2024-06-30 00:00:00,4.611,2669
Q1 2024,3419,368.76,0.11,0.040,11470,6813,4656,1.40,14222,9.64,1.01,2.82,10.22%,32.96%,10.38%,3.66%,2669,2024-03-31 00:00:00,4.192,2669
Q4 2023,3275,341.76,0.10,0.039,10611,6434,4177,1.25,19261,13.34,1.37,4.19,10.48%,34.08%,7.50%,2.47%,2669,2023-12-31 00:00:00,5.673,2669
Q3 2023,3188,333.02,0.10,0.038,10611,6434,4177,1.25,29056,21.07,2.19,6.48,11.11%,35.61%,4.75%,1.56%,2669,2023-09-30 00:00:00,8.558,2669
Q2 2023,3137,317.98,0.10,0.025,9556,5860,3696,1.11,25933,19.01,2.01,6.49,11.51%,38.11%,5.26%,1.73%,2669,2023-06-30 00:00:00,7.594,2669
Q1 2023,3137,317.98,0.10,0.025,9035,5541,3494,1.05,31521,22.88,2.35,7.89,10.67%,39.43%,4.37%,1.45%,2669,2023-03-31 00:00:00,9.135,2669
Q4 2022,2879,316.1,0.10,0.035,8907,5683,3223,0.97,26722,20.59,2.05,7.33,10.91%,40.58%,4.86%,1.61%,2669,2022-12-31 00:00:00,7.744,2669
Q3 2022,2815,310.43,0.09,0.035,8907,5683,3223,0.97,22449,18.04,1.82,6.31,9.71%,32.50%,5.54%,1.78%,2669,2022-09-30 00:00:00,6.506,2669
Q2 2022,2907,260.83,0.08,0.020,9008,5776,3232,0.97,27774,21.31,2.16,7.34,10.10%,33.43%,4.69%,1.46%,2669,2022-06-30 00:00:00,8.006,2669
Q1 2022,2907,260.83,0.08,0.020,9008,5776,3232,0.97,30634,23.66,2.43,7.67,10.92%,38.73%,4.23%,1.34%,2669,2022-03-31 00:00:00,8.767,2669
Q4 2021,2573,295.41,0.09,0.030,8320,5267,3053,0.91,27182,22.51,2.35,7.25,11.83%,42.75%,4.44%,1.42%,2669,2021-12-31 00:00:00,7.78,2669
Q3 2021,2573,295.41,0.09,0.030,8320,5267,3053,0.91,21233,19.56,2.02,5.76,9.15%,31.91%,5.11%,1.61%,2669,2021-09-30 00:00:00,6.077,2669
Q2 2021,2148,196.53,0.06,0.015,7040,4562,2479,0.74,27281,27.90,2.84,9.15,9.74%,33.92%,3.58%,1.11%,2669,2021-06-30 00:00:00,7.771,2669
Q1 2021,2148,196.53,0.06,0.015,7040,4562,2479,0.74,23863,26.58,2.77,8.11,10.75%,38.58%,3.76%,1.19%,2669,2021-03-31 00:00:00,6.762,2669
Q4 2020,1847,209.99,0.06,0.021,6194,4010,2184,0.65,13279,15.97,1.71,5.12,12.41%,43.37%,6.26%,2.02%,2669,2020-12-31 00:00:00,3.772,2669
Q3 2020,1847,209.99,0.06,0.021,6194,4010,2184,0.65,20773,28.71,2.92,8.33,10.07%,33.58%,3.48%,1.11%,2669,2020-09-30 00:00:00,5.887,2669
Q2 2020,1425,140.01,0.04,0.011,4538,2835,1702,0.51,26952,43.26,4.16,14.43,10.34%,35.32%,2.31%,0.72%,2669,2020-06-30 00:00:00,7.613,2669
Q1 2020,1425,140.01,0.04,0.011,4538,2835,1702,0.51,23994,39.65,3.86,12.88,10.90%,38.06%,2.52%,0.81%,2669,2020-03-31 00:00:00,6.755,2669
Q3 2024,,,,,,,,,,,,,,,,,2669,2024-09-30 00:00:00,6.19,2669
Q4 2019,,,,,,,,,,,,,,,,,2669,2019-12-31 00:00:00,4.534,2669
Q3 2024,398.96,81.86,0.02,-,12188,5065,7123,1.63,17407,7.18,1.48,0.31,1.57%,5.39%,13.93%,-,1199,2024-09-30 00:00:00,4.74,1199
Q2 2024,377.1,76.34,0.02,0.016,11927,5030,6897,1.59,19793,8.09,1.72,0.37,1.07%,4.48%,12.37%,5.29%,1199,2024-06-30 00:00:00,5.236,1199
Q1 2024,332.72,62.88,0.02,-,11841,5028,6813,1.61,15323,6.03,1.34,0.29,1.56%,6.81%,16.59%,-,1199,2024-03-31 00:00:00,4.038,1199
Q4 2023,406.58,90.95,0.03,0.020,11932,5089,6843,1.62,20099,7.93,1.77,0.38,1.54%,6.02%,12.61%,5.50%,1199,2023-12-31 00:00:00,5.297,1199
Q3 2023,358.9,83.31,0.02,-,11389,4842,6547,1.57,17924,8.25,1.59,0.35,1.38%,6.32%,12.13%,-,1199,2023-09-30 00:00:00,4.808,1199
Q2 2023,360.85,87.78,0.03,0.017,11325,4805,6520,1.56,16314,7.44,1.46,0.32,1.25%,4.66%,13.45%,5.99%,1199,2023-06-30 00:00:00,4.247,1199
Q1 2023,328.03,62.52,0.02,-,11565,4870,6695,1.63,18029,7.79,1.60,0.34,1.37%,4.59%,12.84%,-,1199,2023-03-31 00:00:00,4.665,1199
Q4 2022,387.3,43.99,0.01,0.015,11326,4687,6639,1.61,21332,8.90,1.90,0.41,1.49%,6.26%,11.23%,5.13%,1199,2022-12-31 00:00:00,5.52,1199
Q3 2022,349.35,85.67,0.03,-,11233,4826,6407,1.59,16747,5.99,1.52,0.33,1.95%,7.25%,16.70%,-,1199,2022-09-30 00:00:00,4.407,1199
Q2 2022,374.97,102.73,0.03,0.021,11616,4871,6745,1.68,18743,6.70,1.77,0.35,0.89%,5.17%,14.93%,7.05%,1199,2022-06-30 00:00:00,4.774,1199
Q1 2022,329.65,74.95,0.02,-,12151,5207,6944,1.75,20223,7.24,2.03,0.37,1.37%,6.67%,13.81%,-,1199,2022-03-31 00:00:00,5.111,1199
Q4 2021,347.61,92.89,0.03,0.022,12033,5093,6941,1.75,22445,8.12,2.38,0.41,1.23%,5.94%,12.32%,5.88%,1199,2021-12-31 00:00:00,5.673,1199
Q3 2021,295.77,86.14,0.03,-,11200,4716,6484,1.71,22345,7.97,2.52,0.44,1.56%,7.42%,12.54%,-,1199,2021-09-30 00:00:00,5.648,1199
Q2 2021,299.54,102.59,0.03,0.021,11226,4731,6495,1.71,20091,7.19,2.32,0.40,0.78%,4.97%,13.90%,6.87%,1199,2021-06-30 00:00:00,4.948,1199
Q1 2021,265.33,73.03,0.02,-,11107,4799,6308,1.66,18765,7.34,2.31,0.38,-1.17%,6.78%,13.62%,-,1199,2021-03-31 00:00:00,4.496,1199
Q4 2020,277.93,98.18,0.03,0.023,11224,4847,6377,1.67,17869,6.63,2.30,0.36,1.27%,6.51%,15.08%,7.83%,1199,2020-12-31 00:00:00,4.266,1199
Q3 2020,270.03,85.94,0.03,-,10735,4670,6066,1.63,14349,5.48,1.89,0.31,-0.87%,5.31%,18.24%,-,1199,2020-09-30 00:00:00,3.511,1199
Q2 2020,232.13,71.47,0.02,0.021,10366,4561,5806,1.60,13154,5.24,1.76,0.29,2.05%,6.65%,19.07%,9.94%,1199,2020-06-30 00:00:00,3.193,1199
Q1 2020,220.55,91.89,0.03,-,10179,4493,5686,1.58,11826,4.36,1.52,0.27,0.04%,6.73%,22.94%,-,1199,2020-03-31 00:00:00,2.755,1199
Q4 2019,,,,,,,,,,,,,,,,,1199,2019-12-31 00:00:00,4.7,1199
Q3 2024,1470,650.27,0.07,-,666626,609820,56806,6.04,18699,19.55,3.40,0.30,0.41%,4.70%,7.96%,-,6196,2024-09-30 00:00:00,0.92,6196
Q2 2024,1726,626.42,0.07,-,645680,589356,56324,5.98,14701,14.91,2.66,0.24,0.63%,7.21%,10.21%,-,6196,2024-06-30 00:00:00,0.77,6196
Q1 2024,1818,967.45,0.11,-,632852,577253,55599,5.91,16583,13.31,2.90,0.28,-0.63%,-7.20%,10.65%,-,6196,2024-03-31 00:00:00,0.81,6196
Q4 2023,-43.72,-900.53,-0.16,-,630709,576395,54315,5.77,17336,-,2.80,0.29,0.47%,5.32%,11.76%,-,6196,2023-12-31 00:00:00,0.83,6196
Q3 2023,1642,704.01,0.07,-,622052,566451,55601,5.90,18004,21.73,2.99,0.30,0.57%,6.43%,10.55%,-,6196,2023-09-30 00:00:00,0.91,6196
Q2 2023,1863,858.57,0.09,-,616859,561946,54914,4.73,17937,17.65,2.77,0.30,0.83%,9.31%,11.67%,-,6196,2023-06-30 00:00:00,0.97,6196
Q1 2023,2163,1188,0.13,-,606378,552511,53867,4.62,18605,11.26,2.45,0.30,-0.64%,-6.52%,15.01%,-,6196,2023-03-31 00:00:00,0.955,6196
Q4 2022,-66.48,-981.14,-0.23,-,591514,538888,52625,5.58,19173,-,2.58,0.32,0.62%,5.82%,14.28%,-,6196,2022-12-31 00:00:00,1.036,6196
Q3 2022,2027,872.38,0.09,-,596131,532940,63192,4.79,19121,6.13,2.24,0.27,0.97%,9.17%,19.03%,-,6196,2022-09-30 00:00:00,1.073,6196
Q2 2022,2532,1365,0.17,-,584296,522149,62146,4.68,22975,6.92,2.57,0.32,0.85%,8.15%,16.84%,-,6196,2022-06-30 00:00:00,1.345,6196
Q1 2022,2073,1166,0.12,-,575109,514406,60703,4.53,26343,7.62,2.85,0.35,-0.04%,-0.43%,15.32%,-,6196,2022-03-31 00:00:00,1.482,6196
