,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q2 2023,38615,-520.41,-0.03,-,344515,311593,32922,2.16,129082,-,1.29,3.63,-2.34%,-51.45%,-18.94%,-,753,2023-06-30 00:00:00,5.58,0753
Q1 2023,25068,-2926,-0.19,-,345153,315811,29342,2.18,174337,-,2.35,5.20,-10.79%,-179.47%,-21.40%,-,753,2023-03-31 00:00:00,7.02,0753
Q4 2022,10809,-10516,-0.76,-,295011,273451,21560,1.63,151090,-,2.53,6.20,-5.33%,-102.04%,-28.90%,-,753,2022-12-31 00:00:00,6.95,0753
Q3 2022,18136,-8668,-0.64,-,296940,261605,35336,2.42,142465,-,2.18,3.65,-7.28%,-98.24%,-26.66%,-,753,2022-09-30 00:00:00,6.0,0753
Q2 2022,11035,-10535,-0.76,-,299332,254695,44637,2.96,166600,-,2.34,3.19,-7.06%,-64.88%,-20.60%,-,753,2022-06-30 00:00:00,6.82,0753
Q1 2022,12918,-8900,-0.65,-,293138,237283,55855,3.61,137163,-,1.52,1.99,-6.74%,-40.46%,-17.41%,-,753,2022-03-31 00:00:00,5.49,0753
Q4 2021,17074,-6321,-0.46,-,298415,232550,65865,4.23,136466,-,1.49,1.69,-2.77%,-21.91%,-14.97%,-,753,2021-12-31 00:00:00,5.44,0753
Q3 2021,19794,-3536,-0.26,-,287446,214260,73186,4.68,113035,-,1.19,1.28,-0.28%,-3.76%,-15.62%,-,753,2021-09-30 00:00:00,5.15,0753
Q2 2021,23083,-578.03,-0.04,-,288028,210765,77263,4.92,119267,-,1.28,1.28,-5.23%,-34.46%,-11.85%,-,753,2021-06-30 00:00:00,5.71,0753
Q1 2021,14581,-6208,-0.45,-,288384,210944,77440,4.92,137681,-,1.74,1.50,-3.34%,-20.34%,-13.63%,-,753,2021-03-31 00:00:00,6.73,0753
Q4 2020,21050,-4298,-0.31,-,284071,200257,83814,5.34,116446,-,1.41,1.17,-0.68%,-2.71%,-14.70%,-,753,2020-12-31 00:00:00,6.1,0753
Q3 2020,18808,-670.72,-0.05,-,290846,203163,87683,5.60,103742,-,1.11,1.04,-2.98%,-22.65%,-11.51%,-,753,2020-09-30 00:00:00,5.07,0753
Q2 2020,12390,-4636,-0.34,-,293636,204502,89135,5.70,93325,-,0.85,0.95,-2.74%,-22.74%,-7.26%,-,753,2020-06-30 00:00:00,4.62,0753
Q1 2020,17256,-4805,-0.35,-,293524,197356,96169,6.14,93797,-,0.71,0.89,0.20%,-1.38%,-1.31%,-,753,2020-03-31 00:00:00,4.949,0753
Q4 2019,,,,,,,,,,,,,,,,,753,2019-12-31 00:00:00,7.829,0753
Q3 2024,10675,2396,2.90,-,93320,32198,61122,75.35,154756,16.20,3.33,2.29,8.88%,17.52%,6.17%,-,2057,2024-09-30 00:00:00,195.9,2057
Q2 2024,10726,2612,3.16,2.543,91104,30130,60974,74.91,130697,14.18,3.01,1.99,6.35%,9.76%,7.05%,4.62%,2057,2024-06-30 00:00:00,163.86,2057
Q1 2024,9960,1426,1.75,-,89875,31485,58390,71.71,131874,14.31,3.09,2.08,8.05%,14.90%,6.99%,-,2057,2024-03-31 00:00:00,168.814,2057
Q4 2023,10619,2192,2.66,4.396,88465,28185,60280,74.31,133773,13.88,3.16,2.01,7.15%,16.39%,7.21%,3.13%,2057,2023-12-31 00:00:00,161.059,2057
Q3 2023,9076,2345,2.84,-,87464,29134,58330,71.75,152734,16.32,3.78,2.44,8.84%,18.35%,6.13%,-,2057,2023-09-30 00:00:00,189.393,2057
Q2 2023,9740,2541,3.07,-,82055,25721,56334,69.12,157309,17.52,3.88,2.58,6.12%,12.28%,5.71%,-,2057,2023-06-30 00:00:00,195.358,2057
Q1 2023,8983,1670,2.03,-,80697,26693,54003,66.21,181789,21.01,4.36,2.95,7.88%,15.94%,4.76%,-,2057,2023-03-31 00:00:00,221.968,2057
Q4 2022,9871,2163,2.61,-,78524,24051,54472,66.76,169650,22.04,4.24,2.75,7.44%,14.71%,4.54%,-,2057,2022-12-31 00:00:00,209.68,2057
Q3 2022,8945,1935,2.37,-,77593,25223,52370,64.11,152743,21.60,3.99,2.64,7.42%,14.16%,4.63%,-,2057,2022-09-30 00:00:00,186.592,2057
Q2 2022,8657,1805,2.23,-,68506,17768,50738,62.14,174426,26.40,4.49,2.93,4.36%,7.18%,3.79%,-,2057,2022-06-30 00:00:00,201.357,2057
Q1 2022,7904,906.27,1.12,-,65347,16706,48642,59.79,157622,24.88,4.01,2.62,8.32%,14.56%,4.02%,-,2057,2022-03-31 00:00:00,197.308,2057
Q4 2021,9218,1762,2.18,-,62772,13845,48928,60.16,177901,30.48,4.77,2.96,5.58%,9.54%,3.28%,-,2057,2021-12-31 00:00:00,213.915,2057
Q3 2021,7391,1167,1.43,-,60663,13597,47066,58.04,197398,38.17,5.55,3.47,6.00%,10.47%,2.62%,-,2057,2021-09-30 00:00:00,239.221,2057
Q2 2021,7325,1292,1.56,-,61268,12100,49168,59.32,194947,37.57,5.65,3.30,2.65%,4.39%,2.66%,-,2057,2021-06-30 00:00:00,231.313,2057
Q1 2021,6473,533.63,0.64,-,60112,12065,48047,57.92,187853,35.41,5.70,3.30,6.63%,10.60%,2.82%,-,2057,2021-03-31 00:00:00,214.261,2057
Q4 2020,8257,1288,1.55,-,59205,10105,49100,59.09,193372,37.76,6.46,3.32,5.44%,11.08%,2.65%,-,2057,2020-12-31 00:00:00,223.147,2057
Q3 2020,6639,1201,1.53,-,58903,10531,48372,58.22,192205,31.48,7.08,3.48,8.67%,15.19%,3.18%,-,2057,2020-09-30 00:00:00,221.37,2057
Q2 2020,6402,1448,1.85,-,48480,9485,38995,49.60,223033,37.25,9.06,5.21,2.01%,3.91%,2.68%,-,2057,2020-06-30 00:00:00,,2057
Q1 2020,3916,374.7,0.48,-,46453,8894,37559,47.78,160500,27.32,6.84,3.90,10.24%,24.78%,3.66%,-,2057,2020-03-31 00:00:00,,2057
Q4 2019,,,,,,,,,,,,,,,,,2057,2019-12-31 00:00:00,,2057
Q3 2024,34321,3837,0.65,-,364354,233879,130475,10.39,152847,8.61,1.13,1.06,4.74%,17.12%,11.61%,-,1171,2024-09-30 00:00:00,10.716,1171
Q2 2024,32678,3812,0.39,0.230,359463,235696,123766,5.83,155274,8.64,1.13,1.17,4.98%,17.16%,11.58%,13.58%,1171,2024-06-30 00:00:00,10.892,1171
Q1 2024,39633,3757,0.39,-,361658,235915,125743,6.21,162802,8.57,1.07,1.19,6.50%,22.22%,11.67%,-,1171,2024-03-31 00:00:00,10.983,1171
Q4 2023,14987,4614,0.49,1.146,354278,235944,118334,6.18,140432,6.30,0.85,1.08,6.77%,22.33%,15.87%,12.55%,1171,2023-12-31 00:00:00,9.914,1171
Q3 2023,40599,4548,0.45,-,337859,234793,103066,5.21,139964,6.59,0.68,1.27,7.31%,19.39%,15.18%,-,1171,2023-09-30 00:00:00,9.887,1171
Q2 2023,45213,4611,0.50,-,305141,188438,116703,7.48,139632,4.90,0.59,1.11,8.64%,24.38%,20.42%,-,1171,2023-06-30 00:00:00,7.765,1171
Q1 2023,50017,6461,0.66,-,301975,166993,134982,9.14,174806,4.62,0.65,1.13,10.79%,20.28%,21.67%,-,1171,2023-03-31 00:00:00,9.719,1171
Q4 2022,55854,4175,0.43,1.574,377475,233565,143911,9.09,160956,4.27,0.63,0.99,19.61%,57.35%,23.43%,20.91%,1171,2022-12-31 00:00:00,8.231,1171
Q3 2022,68834,11145,1.16,-,295452,173429,122023,8.06,223014,5.96,0.94,1.66,16.62%,51.24%,16.78%,-,1171,2022-09-30 00:00:00,9.874,1171
Q2 2022,59084,11360,1.18,-,302296,190143,112153,7.17,187730,5.67,0.86,1.43,9.69%,31.91%,17.63%,-,1171,2022-06-30 00:00:00,7.834,1171
Q1 2022,41201,6677,0.70,-,288065,182165,105900,7.03,188571,7.38,0.94,1.44,9.02%,23.80%,13.55%,-,1171,2022-03-31 00:00:00,7.404,1171
Q4 2021,46955,4727,0.49,0.821,288696,192208,96487,6.32,115353,5.78,0.62,0.97,9.09%,30.79%,17.30%,20.17%,1171,2021-12-31 00:00:00,4.936,1171
Q3 2021,39656,5490,0.58,-,279808,191137,88670,5.81,132165,9.37,0.70,1.23,5.25%,20.72%,10.67%,-,1171,2021-09-30 00:00:00,4.694,1171
Q2 2021,34324,3791,0.40,-,269262,187829,81433,5.32,74778,7.92,0.38,0.76,3.48%,11.27%,12.63%,-,1171,2021-06-30 00:00:00,3.325,1171
Q1 2021,31056,2251,0.24,-,257673,180179,77495,5.42,64150,7.07,0.27,0.70,5.42%,-9.85%,14.14%,-,1171,2021-03-31 00:00:00,2.738,1171
Q4 2020,50299,142.56,0.02,0.308,258910,179128,79782,5.16,47179,5.58,0.18,0.50,3.17%,7.42%,17.93%,20.51%,1171,2020-12-31 00:00:00,1.854,1171
Q3 2020,49166,1668,0.18,-,218920,139496,79425,5.94,42225,3.73,0.16,0.47,2.89%,23.10%,26.79%,-,1171,2020-09-30 00:00:00,1.714,1171
Q2 2020,67520,3582,0.38,-,218371,135166,83205,5.83,39448,3.64,0.16,0.43,3.67%,9.19%,27.45%,-,1171,2020-06-30 00:00:00,1.723,1171
Q1 2020,48006,1729,0.18,-,216887,135913,80975,5.44,39860,3.90,0.17,0.45,8.24%,16.82%,25.64%,-,1171,2020-03-31 00:00:00,1.638,1171
Q4 2019,,,,,,,,,,,,,,,,,1171,2019-12-31 00:00:00,1.886,1171
Q3 2024,26727,156.57,0.01,-,290140,212251,77889,3.44,68476,278.23,0.55,0.79,0.95%,6.55%,0.36%,-,2727,2024-09-30 00:00:00,1.75,2727
Q2 2024,29282,569.74,0.04,-,282295,204669,77626,3.43,54787,171.95,0.46,0.66,0.77%,2.87%,0.58%,-,2727,2024-06-30 00:00:00,1.53,2727
Q1 2024,20587,32.01,0.00,-,278650,201405,77245,3.38,62329,-1157.33,0.50,0.74,-0.87%,-1.33%,-0.09%,-,2727,2024-03-31 00:00:00,1.52,2727
Q4 2023,36426,-536.11,-0.04,-,283267,206340,76927,3.39,62905,-,0.50,0.74,1.29%,4.48%,0.50%,-,2727,2023-12-31 00:00:00,1.63,2727
Q3 2023,25293,230.91,0.01,-,287090,205753,81337,3.42,68915,-48.32,0.54,0.79,0.36%,3.53%,-2.07%,-,2727,2023-09-30 00:00:00,1.83,2727
Q2 2023,31788,223.51,0.01,-,289550,204593,84957,3.41,67845,-31.63,0.52,0.74,0.41%,2.93%,-3.16%,-,2727,2023-06-30 00:00:00,1.83,2727
Q1 2023,21290,366.85,0.02,-,287138,192395,94743,3.54,69655,-18.97,0.53,0.64,-1.98%,-8.54%,-5.27%,-,2727,2023-03-31 00:00:00,1.96,2727
Q4 2022,39566,-2150,-0.14,-,288021,193827,94194,3.52,61516,-,0.46,0.58,0.86%,-0.67%,-6.55%,-,2727,2022-12-31 00:00:00,1.76,2727
Q3 2022,27765,-424.89,-0.03,-,304506,208202,96305,3.65,58603,-,0.46,0.55,-0.35%,-1.77%,-13.15%,-,2727,2022-09-30 00:00:00,1.56,2727
Q2 2022,25312,-1004,-0.06,-,296989,199808,97181,3.68,66572,-,0.48,0.58,0.51%,1.29%,-10.57%,-,2727,2022-06-30 00:00:00,1.93,2727
Q1 2022,24981,12.64,0.00,-,293629,195229,98400,3.73,69814,-5.31,0.44,0.57,-6.60%,-25.46%,-18.82%,-,2727,2022-03-31 00:00:00,2.06,2727
Q4 2021,36733,-5566,-0.33,-,300802,202658,98144,3.70,83209,-,0.52,0.69,2.43%,4.47%,-14.73%,-,2727,2021-12-31 00:00:00,2.38,2727
Q3 2021,31001,548.52,0.04,-,310949,205767,105182,4.09,87426,-24.05,0.49,0.69,-5.78%,-21.80%,-4.16%,-,2727,2021-09-30 00:00:00,2.44,2727
Q2 2021,36965,-5632,-0.36,-,311809,207513,104296,4.05,71231,-,0.40,0.57,0.66%,3.28%,-4.62%,-,2727,2021-06-30 00:00:00,1.98,2727
Q1 2021,25563,661.48,0.04,-,312910,203337,109573,4.45,92358,18.08,0.53,0.71,-0.49%,7.09%,5.53%,-,2727,2021-03-31 00:00:00,2.678,2727
Q4 2020,54753,1413,0.08,0.072,315403,208553,106849,4.37,85088,19.06,0.52,0.67,1.18%,3.73%,5.25%,3.75%,2727,2020-12-31 00:00:00,2.276,2727
Q3 2020,29295,822.98,0.05,-,313112,211722,101390,4.28,75894,18.30,0.49,0.66,1.53%,9.88%,5.46%,-,2727,2020-09-30 00:00:00,1.999,2727
Q2 2020,38532,1409,0.09,-,289053,192574,96479,4.29,73888,21.20,0.53,0.70,0.94%,0.59%,4.72%,-,2727,2020-06-30 00:00:00,2.104,2727
Q1 2020,14705,113.52,0.01,-,278428,183621,94807,4.19,67416,21.59,0.51,0.65,0.36%,9.21%,4.63%,-,2727,2020-03-31 00:00:00,1.961,2727
Q4 2019,,,,,,,,,,,,,,,,,2727,2019-12-31 00:00:00,2.449,2727
Q3 2024,6755,2402,0.28,-,770653,622559,148095,15.55,127555,15.89,4.93,0.78,1.67%,8.32%,6.89%,-,1776,2024-09-30 00:00:00,10.674,1776
Q2 2024,6757,2824,0.39,0.100,689328,543677,145650,15.28,88216,13.84,3.85,0.56,0.95%,4.80%,8.28%,6.71%,1776,2024-06-30 00:00:00,6.406,1776
Q1 2024,4899,1538,0.17,-,759774,614680,145094,15.18,99774,16.23,4.47,0.63,0.79%,3.79%,6.91%,-,1776,2024-03-31 00:00:00,7.675,1776
Q4 2023,4961,1168,0.09,0.300,682182,541506,140676,14.81,108842,15.70,4.47,0.70,0.86%,4.17%,7.06%,3.73%,1776,2023-12-31 00:00:00,8.861,1776
Q3 2023,4692,1272,0.16,-,668918,529633,139285,14.73,110857,12.44,4.48,0.74,1.59%,8.02%,8.23%,-,1776,2023-09-30 00:00:00,9.98,1776
Q2 2023,6046,2382,0.29,-,678663,540668,137995,14.58,112257,13.27,4.51,0.75,1.51%,7.68%,7.96%,-,1776,2023-06-30 00:00:00,9.899,1776
Q1 2023,6425,2157,0.27,-,664448,536683,127765,14.64,125324,12.77,4.48,0.86,1.99%,9.72%,8.01%,-,1776,2023-03-31 00:00:00,10.173,1776
Q4 2022,5902,2695,0.36,0.350,617256,492463,124793,14.35,122483,14.01,4.78,0.87,0.85%,4.21%,7.32%,3.85%,1776,2022-12-31 00:00:00,10.264,1776
Q3 2022,4682,1036,0.13,-,590257,467804,122453,14.08,107513,13.11,4.09,0.80,2.17%,10.94%,7.64%,-,1776,2022-09-30 00:00:00,7.822,1776
Q2 2022,7452,2896,0.38,-,581023,467481,113543,13.90,146992,13.74,4.55,1.11,1.15%,5.63%,7.30%,-,1776,2022-06-30 00:00:00,9.496,1776
Q1 2022,4652,1303,0.17,-,554667,442628,112039,13.99,147475,12.43,4.10,1.07,1.91%,9.14%,8.05%,-,1776,2022-03-31 00:00:00,9.043,1776
Q4 2021,7051,2213,0.29,0.500,535855,425054,110801,13.86,203956,15.33,5.08,1.50,2.41%,11.55%,6.53%,4.79%,1776,2021-12-31 00:00:00,12.085,1776
Q3 2021,8411,2752,0.36,-,515101,406638,108463,13.53,172989,13.59,4.37,1.32,2.93%,14.11%,7.36%,-,1776,2021-09-30 00:00:00,11.044,1776
Q2 2021,9035,3348,0.44,-,505652,401364,104288,13.15,124901,10.21,3.30,1.00,2.33%,10.79%,9.80%,-,1776,2021-06-30 00:00:00,8.181,1776
Q1 2021,8213,2541,0.33,-,499280,394597,104683,13.17,130342,10.45,3.61,1.05,1.85%,8.15%,9.57%,-,1776,2021-03-31 00:00:00,9.224,1776
Q4 2020,7125,1898,0.25,0.450,457464,355190,102274,12.88,133095,11.16,4.06,1.10,2.43%,10.60%,8.96%,5.94%,1776,2020-12-31 00:00:00,8.481,1776
Q3 2020,7072,2389,0.32,-,432635,333368,99267,12.62,123227,10.73,4.20,1.09,3.68%,16.38%,9.32%,-,1776,2020-09-30 00:00:00,7.56,1776
Q2 2020,8053,3681,0.48,-,421654,324796,96858,12.33,105824,10.54,4.04,1.00,2.08%,9.11%,9.49%,-,1776,2020-06-30 00:00:00,6.423,1776
Q1 2020,5358,2071,0.27,-,438448,342327,96121,12.22,102772,14.03,4.59,0.98,2.11%,8.66%,7.13%,-,1776,2020-03-31 00:00:00,6.15,1776
Q4 2019,,,,,,,,,,,,,,,,,1776,2019-12-31 00:00:00,7.024,1776
Q3 2024,241988,3793,0.26,-,1810274,1390870,419405,23.71,124737,5.18,0.10,0.27,1.62%,7.57%,19.87%,-,1186,2024-09-30 00:00:00,5.4,1186
Q2 2024,241188,5877,0.39,-,1745842,1331785,414057,23.31,117492,4.60,0.10,0.26,1.53%,6.80%,22.27%,-,1186,2024-06-30 00:00:00,5.179,1186
Q1 2024,274949,6025,0.40,-,1709108,1291646,417462,18.86,116753,4.21,0.09,0.26,1.97%,8.63%,24.34%,-,1186,2024-03-31 00:00:00,4.436,1186
Q4 2023,331530,6677,0.44,0.350,1663020,1245900,417120,22.82,106053,3.78,0.08,0.23,1.67%,6.82%,27.11%,8.96%,1186,2023-12-31 00:00:00,4.305,1186
Q3 2023,265403,5771,0.39,-,1681665,1271158,410507,18.02,117804,4.46,0.10,0.27,1.95%,9.71%,24.90%,-,1186,2023-09-30 00:00:00,4.491,1186
Q2 2023,267521,7741,0.54,-,1647065,1246540,400526,22.27,134393,5.13,0.11,0.31,1.61%,7.11%,21.58%,-,1186,2023-06-30 00:00:00,5.064,1186
Q1 2023,273539,5908,0.39,-,1591747,1201584,390163,17.35,130256,4.71,0.10,0.29,2.09%,10.09%,23.66%,-,1186,2023-03-31 00:00:00,5.003,1186
Q4 2022,297891,7913,0.60,0.280,1523914,1137994,385920,21.38,110221,4.07,0.09,0.25,1.78%,6.92%,27.37%,7.71%,1186,2022-12-31 00:00:00,4.106,1186
Q3 2022,257925,5278,0.36,-,1535574,1166126,369447,16.22,96815,3.88,0.08,0.24,2.21%,10.57%,29.16%,-,1186,2022-09-30 00:00:00,3.534,1186
Q2 2022,276019,7869,0.55,-,1494211,1130015,364196,20.68,116644,4.32,0.09,0.27,1.60%,7.36%,25.98%,-,1186,2022-06-30 00:00:00,4.061,1186
Q1 2022,264478,5621,0.36,-,1445211,1091660,353551,15.50,118798,4.30,0.09,0.27,2.08%,10.04%,26.32%,-,1186,2022-03-31 00:00:00,3.962,1186
Q4 2021,284535,6818,0.50,0.246,1352970,1006477,346493,19.79,120726,4.52,0.10,0.28,1.68%,8.09%,25.10%,7.16%,1186,2021-12-31 00:00:00,4.218,1186
Q3 2021,246960,5565,0.36,-,1366874,1032607,334268,14.68,120329,4.26,0.10,0.30,1.95%,10.52%,25.49%,-,1186,2021-09-30 00:00:00,4.201,1186
Q2 2021,254560,7302,0.52,-,1335539,1009802,325737,18.94,113443,4.14,0.09,0.29,1.47%,7.15%,26.91%,-,1186,2021-06-30 00:00:00,4.009,1186
Q1 2021,233955,5005,0.31,-,1278537,960923,317614,18.81,119772,4.51,0.10,0.32,2.08%,11.29%,24.20%,-,1186,2021-03-31 00:00:00,3.931,1186
Q4 2020,286317,7514,0.57,0.230,1242793,929154,313639,18.73,116727,4.83,0.11,0.31,2.01%,9.56%,22.78%,8.24%,1186,2020-12-31 00:00:00,3.321,1186
Q3 2020,253218,5563,0.35,-,1197788,921612,276176,16.41,119899,5.49,0.12,0.38,2.07%,11.06%,19.41%,-,1186,2020-09-30 00:00:00,4.165,1186
Q2 2020,225687,6346,0.45,-,1145163,877218,267945,15.83,118405,5.99,0.13,0.40,1.15%,5.38%,18.74%,-,1186,2020-06-30 00:00:00,4.598,1186
Q1 2020,145103,2970,0.18,-,1095440,831550,263890,15.61,141787,7.18,0.16,0.49,2.09%,10.32%,14.88%,-,1186,2020-03-31 00:00:00,6.553,1186
Q4 2019,,,,,,,,,,,,,,,,,1186,2019-12-31 00:00:00,6.44,1186
Q3 2024,21232,682.35,0.13,-,157862,102772,55090,5.42,132293,45.83,1.41,2.17,3.94%,8.18%,2.55%,-,1787,2024-09-30 00:00:00,17.422,1787
Q2 2024,26816,683.58,0.13,0.080,152661,98758,53903,5.25,119685,44.73,1.43,2.07,3.12%,7.85%,2.54%,1.53%,1787,2024-06-30 00:00:00,15.47,1787
Q1 2024,18957,699.89,0.13,-,142909,88658,54251,5.33,124232,48.83,1.76,2.11,4.24%,9.42%,2.26%,-,1787,2024-03-31 00:00:00,15.661,1787
Q4 2023,17952,982.53,0.19,0.140,134599,81340,53259,5.17,103797,43.10,1.59,1.77,2.60%,5.88%,2.47%,1.06%,1787,2023-12-31 00:00:00,14.616,1787
Q3 2023,13898,465.4,0.08,-,130632,79270,51362,5.31,110134,66.34,1.98,2.00,2.90%,5.43%,1.85%,-,1787,2023-09-30 00:00:00,14.616,1787
Q2 2023,14327,440.95,0.08,-,99390,62236,37154,5.25,103969,78.97,2.01,2.59,2.70%,5.46%,1.63%,-,1787,2023-06-30 00:00:00,14.083,1787
