Quarter,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q3 2023,1352712,19040,183.74,-,3857904,2555633,1302271,12567.12,1305678,19.27,0.25,1,3.09%,3.80%,5.19%,-,CSM,9/30/2023 0:00,12.3,CSM
Q2 2023,1368392,12310,118.79,-,4049566,2766335,1283230,12383.38,1450754,20.3,0.27,1.13,1.96%,2.17%,4.93%,-,CSM,6/30/2023 0:00,13.36,CSM
Q1 2023,1235086,7095,68.46,-,3957899,2649371,1308529,12627.51,1383397,17.71,0.26,1.06,4.07%,9.11%,5.65%,-,CSM,3/31/2023 0:00,12.74,CSM
Q4 2022,1203742,29302,282.77,300,4204237,2902803,1301434,12559.04,1492204,18.84,0.28,1.15,4.37%,7.22%,5.31%,2.18%,CSM,12/31/2022 0:00,13.74,CSM
Q3 2022,1485925,22767,219.7,-,4615573,3343441,1272133,12276.28,1616554,19.13,0.3,1.27,3.40%,6.03%,5.23%,-,CSM,9/30/2022 0:00,14.6,CSM
Q2 2022,1401796,18965,183.01,-,4419799,3170433,1249366,12056.58,1839348,55.18,0.37,1.47,2.22%,2.58%,1.81%,-,CSM,6/30/2022 0:00,16.61,CSM
Q1 2022,1229169,8152,78.67,-,4482327,3216873,1265454,12211.83,1880799,51.08,0.38,1.49,4.44%,10.94%,1.96%,-,CSM,3/31/2022 0:00,16.99,CSM
Q4 2021,1355485,34637,334.25,300,4153313,2896011,1257302,12133.16,1958517,46.61,0.4,1.56,-0.36%,-8.82%,2.15%,1.70%,CSM,12/31/2021 0:00,17.69,CSM
Q3 2021,1011602,-28418,-274.24,-,4408319,3133767,1274552,12299.62,1865255,-,0.4,1.46,3.11%,6.93%,2.02%,-,CSM,9/30/2021 0:00,16.84,CSM
Q2 2021,1392996,22450,216.65,-,4411622,3109717,1301905,12563.59,1854892,19.6,0.37,1.42,2.78%,4.16%,5.10%,-,CSM,6/30/2021 0:00,16.75,CSM
Q1 2021,1079425,13346,128.79,-,4247531,2958738,1288793,12437.05,1958517,21.5,0.41,1.52,4.04%,9.60%,4.65%,-,CSM,3/31/2021 0:00,17.2,CSM
Q4 2020,1226560,30260,292.01,-,3813250,2537803,1275447,12308.26,1823805,20.12,0.39,1.43,4.40%,9.10%,4.97%,-,CSM,12/31/2020 0:00,16.01,CSM
Q3 2020,1275531,28599,275.99,-,4086134,2840947,1245187,12016.25,1637279,17.38,0.35,1.31,3.49%,5.99%,5.75%,-,CSM,9/30/2020 0:00,14.37,CSM
Q2 2020,1245615,18882,182.22,-,3923516,2655116,1268401,12240.26,1544016,20.35,0.34,1.22,3.44%,4.14%,4.91%,-,CSM,6/30/2020 0:00,13.09,CSM
Q1 2020,944328,12920,124.68,-,3823178,2569533,1253645,12097.87,1440391,22.74,0.33,1.15,Upgrade,Upgrade,4.40%,-,CSM,3/31/2020 0:00,12.21,CSM
Q4 2019,,,,,,,,,,,,,,,,,CSM,12/31/2019 0:00,11.99,CSM
Q3 2024,497260,36359,2051,-,2270447,823119,1447328,77184.8,1397174,6.05,0.62,0.97,8.18%,16.17%,16.65%,-,NSC,9/30/2024 0:00,77.62,NSC
Q2 2024,631867,55622,3167.61,-,2417369,1001306,1416063,75070.42,1342693,6.04,0.61,0.95,5.11%,9.98%,16.69%,-,NSC,6/30/2024 0:00,74.6,NSC
Q1 2024,350502,35479,2000.02,-,2294230,825731,1468499,78485.89,1328633,5.98,0.64,0.9,14.56%,31.12%,16.84%,-,NSC,3/31/2024 0:00,71.95,NSC
Q4 2023,780396,105205,5956.19,2000,2221165,775030,1446135,77178.35,1196825,6.01,0.59,0.83,4.19%,8.49%,18.68%,6.17%,NSC,12/31/2023 0:00,64.81,NSC
Q3 2023,422555,27778,1574,2000,2080326,733053,1347274,71707.93,1260093,9.08,0.65,0.94,9.09%,17.09%,15.18%,6.03%,NSC,9/30/2023 0:00,66.31,NSC
Q2 2023,516882,55335,3148.06,-,2101265,776462,1324803,70462.8,1216157,8.78,0.67,0.92,5.58%,10.39%,15.71%,-,NSC,6/30/2023 0:00,64,NSC
Q1 2023,315645,35209,687.58,-,1987454,611494,1375960,73360.47,1300514,7.8,0.69,0.95,12.30%,22.93%,16.83%,-,NSC,3/31/2023 0:00,66.53,NSC
Q4 2022,687282,72947,2495,2000,2025729,674471,1351258,71964.69,1263608,6.6,0.67,0.94,4.68%,8.79%,17.46%,6.19%,NSC,12/31/2022 0:00,64.64,NSC
Q3 2022,307574,27514,1565,2000,2048613,760635,1287978,68489.22,1439353,6.57,0.74,1.12,12.31%,26.31%,16.48%,7.09%,NSC,9/30/2022 0:00,70.56,NSC
Q2 2022,567167,83224,4127.07,-,2068000,799908,1268092,67412.74,1643217,7.3,0.8,1.3,4.95%,11.34%,14.80%,-,NSC,6/30/2022 0:00,77.06,NSC
Q1 2022,327042,36963,1966.88,-,1944462,607270,1337192,71329.92,1630915,7.35,0.81,1.22,14.26%,29.30%,13.67%,-,NSC,3/31/2022 0:00,76.48,NSC
Q4 2021,746302,89463,4060.81,3000,1931959,627326,1304633,69514.84,1423536,7.07,0.74,1.09,5.14%,11.36%,15.41%,10.49%,NSC,12/31/2021 0:00,66.76,NSC
Q3 2021,405275,33478,1905,4000,2011126,791895,1219231,64828.89,1458685,8.06,0.79,1.2,10.02%,21.53%,13.58%,11.98%,NSC,9/30/2021 0:00,66.79,NSC
Q2 2021,531657,63118,3329.4,-,2033918,842436,1191481,63283.27,1418263,7.96,0.81,1.19,5.73%,11.20%,13.76%,-,NSC,6/30/2021 0:00,64.93,NSC
Q1 2021,245372,33283,1466.92,-,1849744,625534,1224210,65150.2,1293484,7.45,0.78,1.06,11.39%,24.28%,16.05%,-,NSC,3/31/2021 0:00,57.81,NSC
Q4 2020,665933,68170,2909.81,4000,1801552,600109,1201443,63920.49,1412991,8.16,0.86,1.18,5.57%,11.16%,13.46%,6.52%,NSC,12/31/2020 0:00,61.31,NSC
Q3 2020,298262,30581,1740,-,1812509,696422,1116088,59211.37,1282940,7.34,0.85,1.15,11.31%,27.44%,15.20%,-,NSC,9/30/2020 0:00,54.53,NSC
Q2 2020,450672,75626,4303.11,-,1790967,675670,1115297,59127.1,1107195,6.85,0.8,0.99,2.77%,5.68%,16.41%,-,NSC,6/30/2020 0:00,47.06,NSC
Q1 2020,219684,15828,900.61,-,1937288,800830,1136458,60355.45,1291727,8.57,0.92,1.14,Upgrade,Upgrade,13.23%,-,NSC,3/31/2020 0:00,54.9,NSC
Q4 2019,,,,,,,,,,,,,,,,,NSC,12/31/2019 0:00,67.22,NSC
