Quarter,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q1 2023,1966797,25102,47.36,-,32474344,22550246,9924097,11473.26,9887656,35.21,1.09,1,0.39%,-1.54%,2.87%,-,VCG,3/31/2023 0:00,16.52,VCG
Q4 2022,1752988,-59793,-104.2,-,31999304,22068644,9930660,11453.5,8381428,-,0.99,0.84,2.44%,10.13%,9.33%,-,VCG,12/31/2022 0:00,14,VCG
Q3 2022,3174427,187250,312.8,-,30966021,20996073,9969947,11559.66,10373535,10.86,1.17,1.04,1.68%,7.29%,9.29%,-,VCG,9/30/2022 0:00,17.33,VCG
Q2 2022,2172572,130806,239.96,-,31258463,21537851,9720612,11248.23,8502930,10.34,1.23,0.87,0.62%,26.12%,9.78%,-,VCG,6/30/2022 0:00,14.21,VCG
Q1 2022,1352868,524013,803.08,-,30628887,21479926,9148961,12114.68,18993559,33.46,3.09,2.08,1.15%,8.52%,3.04%,-,VCG,3/31/2022 0:00,30.35,VCG
Q4 2021,2139299,121914,189.06,885.478,30969416,23341791,7627625,11059.01,24891619,64.62,4.33,3.26,1.91%,5.79%,1.58%,3.64%,VCG,12/31/2021 0:00,36.49,VCG
Q3 2021,1268779,54946,132.33,442.739,30840059,23231144,7608916,15895.46,19422132,46.85,3.63,2.55,2.54%,-5.10%,2.46%,2.96%,VCG,9/30/2021 0:00,28.65,VCG
Q2 2021,1388987,-124119,-512.05,-,30126386,22687656,7438730,11040.63,20040052,-,3.74,2.69,0.21%,18.60%,7.11%,-,VCG,6/30/2021 0:00,34.15,VCG
Q1 2021,951935,341549,580.84,-,21497224,13804053,7693171,11259.06,18068239,9.95,3.28,2.35,2.58%,12.00%,10.40%,-,VCG,3/31/2021 0:00,30.79,VCG
Q4 2020,1748117,205490,226.42,406.183,19609981,12446776,7163205,10703.18,18551132,12.04,3.34,2.59,-11.26%,50.14%,8.65%,2.87%,VCG,12/31/2020 0:00,30.83,VCG
Q3 2020,1269944,1002627,1536.72,406.183,19356995,10559855,8797140,12117.55,17712598,11.24,2.51,2.01,5.60%,18.11%,9.11%,1.65%,VCG,9/30/2020 0:00,26.81,VCG
Q2 2020,1532870,329657,506.89,-,18034655,10273983,7760672,10580.73,11572820,15.23,1.43,1.49,-6.64%,3.31%,6.89%,-,VCG,6/30/2020 0:00,17.52,VCG
Q1 2020,1000505,66897,102.22,-,17516698,9845099,7671598,10509.33,10821911,17.34,1.22,1.41,Upgrade,Upgrade,6.12%,-,VCG,3/31/2020 0:00,16.38,VCG
Q4 2019,,,,,,,,,,,,,,,,,VCG,12/31/2019 0:00,17.99,VCG
Q3 2024,270576,70009,338,-,10521862,5546315,4975547,22305.8,11086154,28.7,9.34,2.23,4.50%,9.44%,3.48%,-,BSI,9/30/2024 0:00,49.7,BSI
Q2 2024,383778,114780,514.55,-,9858174,4952636,4905538,21991.87,10301383,23.47,8.23,2.1,5.81%,11.54%,4.26%,-,BSI,6/30/2024 0:00,46.18,BSI
Q1 2024,308364,137148,614.85,-,10564404,5742840,4821564,21615.41,12815894,28.62,11.16,2.66,3.07%,5.54%,3.49%,-,BSI,3/31/2024 0:00,57.46,BSI
Q4 2023,224193,64285,300.45,-,8326379,3641964,4684415,21000.56,9608180,25.46,8.68,2.05,5.94%,10.71%,4.25%,-,BSI,12/31/2023 0:00,43.18,BSI
Q3 2023,334636,122690,583.64,-,8437621,3840228,4597394,20661.96,8293399,26.74,7.51,1.8,6.80%,10.95%,4.34%,-,BSI,9/30/2023 0:00,37.27,BSI
Q2 2023,280860,123597,555.56,-,8080230,3511879,4568351,20531.38,6096636,29.57,6.21,1.33,6.48%,8.85%,4.20%,-,BSI,6/30/2023 0:00,26.99,BSI
Q1 2023,267049,97688,300.53,-,6467023,2002938,4464085,20062.12,4336010,56.57,4.8,0.97,-,-,2.92%,-,BSI,3/31/2023 0:00,19.19,BSI
Q4 2022,222133,16243,-6.75,420.875,5591087,1224689,4366397,19623.1,2115329,-,2.32,0.48,-,-,5.31%,2.92%,BSI,12/31/2022 0:00,14.43,BSI
Q3 2022,212240,18798,129.63,-,-,-,-,-,3647119,25.21,3.48,-,-0.38%,-1.37%,4.69%,-,BSI,9/30/2022 0:00,24.18,BSI
Q2 2022,202641,-5965,-41.25,-,5888621,4203702,1684919,11666.32,2717103,-,2.44,1.61,5.33%,18.92%,9.45%,-,BSI,6/30/2022 0:00,18.01,BSI
Q1 2022,276484,83295,576.6,-,6502327,4699865,1802462,12480.18,4546741,13.39,3.71,2.52,5.37%,17.83%,8.34%,-,BSI,3/31/2022 0:00,30.14,BSI
Q4 2021,356838,74951,336.5,589.226,6004732,4285475,1719257,11904.08,5154597,16.24,4.35,3,8.46%,26.23%,6.92%,1.72%,BSI,12/31/2021 0:00,34.17,BSI
Q3 2021,279619,104405,723.06,-,5165239,3520752,1644487,11386.37,3258094,11.67,3.08,1.98,10.76%,30.17%,9.47%,-,BSI,9/30/2021 0:00,21.6,BSI
Q2 2021,313732,116359,714.65,-,4702828,3162656,1540172,10664.09,2735340,11.25,2.83,1.78,7.13%,16.12%,9.96%,-,BSI,6/30/2021 0:00,17.55,BSI
Q1 2021,234639,61174,423.4,-,3946184,2400847,1545337,10699.86,1787089,7.66,1.99,1.16,4.16%,7.16%,13.95%,-,BSI,3/31/2021 0:00,11.47,BSI
Q4 2020,230637,26455,71.29,757.576,2921021,1430568,1490453,10319.84,1513555,13.6,1.75,1.02,13.71%,19.11%,8.42%,7.80%,BSI,12/31/2020 0:00,9.71,BSI
Q3 2020,188064,68318,473.06,-,2163552,699560,1463992,10136.62,1061312,11.84,1.38,0.72,17.64%,27.55%,9.42%,-,BSI,9/30/2020 0:00,6.81,BSI
Q2 2020,246190,93338,619.08,-,1822176,425684,1396492,9669.26,976519,12.02,1.31,0.7,-10.12%,-18.03%,9.39%,-,BSI,6/30/2020 0:00,6.24,BSI
Q1 2020,198826,-60726,-439.39,-,2411286,1097233,1314054,9089.07,976519,-,1.54,0.74,Upgrade,Upgrade,1.89%,-,BSI,3/31/2020 0:00,6.24,BSI
Q4 2019,,,,,,,,,,,,,,,,,BSI,12/31/2019 0:00,6.12,BSI
Q3 2024,6159196,204352,209.24,-,34198412,22875627,11322785,11995.6,9182212,18.15,0.35,0.81,2.83%,6.49%,6.75%,-,SBT,9/30/2024 0:00,11.73,SBT
Q2 2024,7018742,154068,175.91,-,34137216,23037024,11100192,11707.77,9774613,22.64,0.38,0.88,3.34%,8.16%,5.78%,-,SBT,6/30/2024 0:00,10.73,SBT
Q1 2024,6366499,194788,174.11,-,30763381,19993951,10769430,11604.34,10848340,31.64,0.42,1.01,-,-,4.67%,-,SBT,3/31/2024 0:00,11.27,SBT
Q4 2023,6796828,66673,15.17,-,29934286,19430643,10503643,11305.14,11218590,28.36,0.45,1.07,-,-,4.79%,-,SBT,12/31/2023 0:00,12,SBT
Q3 2023,5710188,149389,151.12,-,-,-,-,-,9693915,19.01,0.41,-,2.01%,4.72%,7.05%,-,SBT,9/30/2023 0:00,13.32,SBT
Q2 2023,6927141,95281,87.81,-,29041226,18864049,10177178,11113.81,9761234,16.69,0.46,0.96,3.33%,10.68%,7.57%,-,SBT,6/30/2023 0:00,13.77,SBT
Q1 2023,5308956,225869,237.79,-,27879852,17944910,9934942,10844.98,10192244,14.26,0.53,1.03,1.79%,9.39%,8.88%,-,SBT,3/31/2023 0:00,11.9,SBT
Q4 2022,5500878,212996,275.94,-,27730368,18061489,9668879,10562.35,11733664,16.84,0.64,1.21,-,-,7.45%,-,SBT,12/31/2022 0:00,11.98,SBT
Q3 2022,3515931,205188,213.29,-,25215832,15640187,9575646,10387.92,15099621,23.05,0.89,1.58,-,-,5.53%,-,SBT,9/30/2022 0:00,12.51,SBT
Q2 2022,4989564,261343,233.28,-,-,-,-,-,16295008,25.39,0.98,-,2.44%,9.32%,5.04%,-,SBT,6/30/2022 0:00,14.4,SBT
Q1 2022,4311939,195118,199.52,-,21491453,13005931,8485522,10081.85,13243626,21.29,0.85,1.56,3.61%,8.33%,5.60%,-,SBT,3/31/2022 0:00,18.54,SBT
Q4 2021,4175764,172960,111.32,853.788,20470899,12232594,8238305,9970.67,12960321,24.13,0.87,1.57,3.65%,9.54%,4.98%,5.26%,SBT,12/31/2021 0:00,20,SBT
Q3 2021,3181348,192009,216.52,-,20463511,12263319,8200192,9920.62,13824342,21.88,0.95,1.69,3.57%,9.39%,5.10%,-,SBT,9/30/2021 0:00,16.26,SBT
Q2 2021,3911426,181409,193.94,-,18296648,10376315,7920333,9588.95,12929463,25.19,0.9,1.63,3.88%,5.42%,4.54%,-,SBT,6/30/2021 0:00,16.22,SBT
Q1 2021,3656330,98663,106.74,-,18402602,10717237,7685365,9625.61,8683760,24.52,0.65,1.13,-,-,4.90%,-,SBT,3/31/2021 0:00,17.3,SBT
Q4 2020,3766695,233095,241.81,-,17955719,10313417,7642301,9562.1,7832986,25.8,0.61,1.02,-,-,4.65%,-,SBT,12/31/2020 0:00,16.18,SBT
Q3 2020,2974751,73489,84.62,-,-,-,-,-,7451605,57.18,0.63,-,Upgrade,Upgrade,1.43%,-,SBT,9/30/2020 0:00,11.07,SBT
Q2 2020,,,,,,,,,,,,,,,,,SBT,6/30/2020 0:00,9.99,SBT
Q1 2020,,,,,,,,,,,,,,,,,SBT,3/31/2020 0:00,9.5,SBT
Q4 2019,,,,,,,,,,,,,,,,,SBT,12/31/2019 0:00,13.84,SBT
Q3 2024,10840381,273403,443.85,500,19722950,8614668,11108282,18007.25,14721977,12.97,0.4,1.33,2.51%,11.59%,7.72%,2.09%,HSG,9/30/2024 0:00,21.3,HSG
Q2 2024,9249585,319217,518.22,-,21976629,10816536,11160093,18091.38,14567982,16.64,0.42,1.31,1.53%,3.82%,6.02%,-,HSG,6/30/2024 0:00,23.9,HSG
Q1 2024,9073224,103352,167.78,-,18798432,7927853,10870579,17621.4,14044397,17.4,0.43,1.29,6.47%,16.65%,5.75%,-,HSG,3/31/2024 0:00,23.04,HSG
Q4 2023,8106587,440063,712.46,-,17365306,6585139,10780166,17474.64,12319646,427.65,0.39,1.14,0.84%,0.55%,0.24%,-,HSG,12/31/2023 0:00,22.22,HSG
Q3 2023,8645778,14148,22.97,-,16526632,6159555,10367078,16803.66,10133145,-7.75,0.32,0.98,4.07%,9.75%,-12.80%,-,HSG,9/30/2023 0:00,19.49,HSG
Q2 2023,6980867,250587,406.8,-,17004912,6612059,10392854,16845.52,9628685,-9.12,0.27,0.93,-8.88%,-25.64%,-10.86%,-,HSG,6/30/2023 0:00,16.03,HSG
Q1 2023,7917429,-674789,-1095.44,-,15963737,5793274,10170462,16484.52,6907535,-,0.17,0.68,-12.17%,-31.33%,-15.38%,-,HSG,3/31/2023 0:00,15.23,HSG
Q4 2022,7939118,-886686,-1455.75,-,17025411,6141841,10883570,17642.18,8851214,-,0.18,0.81,5.13%,9.11%,2.84%,-,HSG,12/31/2022 0:00,10.93,HSG
Q3 2022,12177236,265002,434.47,-,23078967,11323766,11755201,19246.26,7945059,4.17,0.14,0.68,3.70%,8.22%,26.17%,-,HSG,9/30/2022 0:00,14,HSG
Q2 2022,12661072,234078,383.77,-,22212722,10707602,11505120,18836.51,17271866,5.17,0.3,1.5,7.68%,23.11%,20.36%,-,HSG,6/30/2022 0:00,12.69,HSG
Q1 2022,16933210,638948,1047.55,-,22932260,11643197,11289063,18482.28,18456223,4.45,0.33,1.63,10.43%,36.39%,23.39%,-,HSG,3/31/2022 0:00,27.59,HSG
Q4 2021,15797048,941060,1259.98,-,26618030,15786236,10831794,17732.59,23070279,5.57,0.47,2.13,21.06%,75.63%,18.70%,-,HSG,12/31/2021 0:00,29.48,HSG
Q3 2021,12983894,1701825,2815.2,-,25161004,15305001,9856003,16276.42,20492531,5.42,0.5,2.08,14.89%,54.36%,18.66%,-,HSG,9/30/2021 0:00,36.66,HSG
Q2 2021,10845989,1034920,1713.25,-,22033028,13888143,8144885,13448.51,12618066,5.27,0.36,1.55,12.28%,37.19%,19.35%,-,HSG,6/30/2021 0:00,33.03,HSG
Q1 2021,9099591,635703,1052.37,-,17350836,10266257,7084579,11717.14,9840563,6.3,0.33,1.39,9.61%,28.38%,16.33%,-,HSG,3/31/2021 0:00,20.35,HSG
Q4 2020,8341927,451984,671.86,-,17756408,11165669,6590739,10899.64,7020542,6.34,0.26,1.07,7.34%,21.22%,16.43%,-,HSG,12/31/2020 0:00,15.87,HSG
Q3 2020,6834014,318377,-,-,16436398,10285568,6150830,-,5090959,6.6,0.2,0.83,6.38%,14.01%,15.43%,-,HSG,9/30/2020 0:00,11.22,HSG
Q2 2020,5778517,201042,332.77,-,16983390,11142568,5840821,9655.36,1925667,3.14,0.07,0.33,5.42%,13.10%,32.61%,-,HSG,6/30/2020 0:00,8.21,HSG
Q1 2020,6576292,181925,301.11,-,16725096,11082191,5642904,9327.19,3305247,7.1,0.12,0.59,Upgrade,Upgrade,14.53%,-,HSG,3/31/2020 0:00,3.11,HSG
Q4 2019,,,,,,,,,,,,,,,,,HSG,12/31/2019 0:00,5.33,HSG
Q3 2024,1616740,291316,435.96,-,14624628,2191072,12433556,13323.06,8820449,15.42,3,0.71,0.14%,3.32%,6.49%,-,TCH,9/30/2024 0:00,18.15,TCH
Q2 2024,252999,54977,82.27,500,14751166,3252957,11498209,12419.65,7751304,19.39,3.74,0.67,1.38%,5.83%,5.16%,4.31%,TCH,6/30/2024 0:00,19,TCH
Q1 2024,317953,106799,159.83,-,14625346,2815906,11809440,12837.38,5940439,20.71,2.73,0.5,3.21%,6.99%,4.83%,-,TCH,3/31/2024 0:00,15.7,TCH
Q4 2023,749825,119031,178.13,-,14176420,2520300,11656120,12678.36,4924751,20.02,2.35,0.42,3.04%,6.86%,4.99%,-,TCH,12/31/2023 0:00,13.2,TCH
Q3 2023,749825,119031,178.13,-,14176420,2520300,11656120,12678.36,4537186,20.38,1.82,0.39,0.35%,-0.90%,4.91%,-,TCH,9/30/2023 0:00,11.6,TCH
Q2 2023,359680,-57954,-86.73,-,15774266,3690968,12083297,13065.4,7550839,-,2.93,0.62,0.38%,3.24%,2.58%,-,TCH,6/30/2023 0:00,8.57,TCH
Q1 2023,233881,65859,98.56,-,15596594,3131629,12464965,13454.48,7149910,18.84,2.77,0.57,2.11%,5.30%,5.31%,-,TCH,3/31/2023 0:00,7.11,TCH
Q4 2022,1153038,95642,173.55,1200,14667881,2325773,12342108,13380.52,13497960,33.7,4.9,1.09,3.04%,5.79%,2.97%,7.28%,TCH,12/31/2022 0:00,6.55,TCH
Q3 2022,834232,91196,184.89,-,14354533,2170003,12184530,13240.61,16983918,35.64,7.64,1.39,3.07%,6.81%,2.81%,-,TCH,9/30/2022 0:00,9.46,TCH
Q2 2022,362174,126875,280.26,-,11664204,2189314,9474890,13709.13,7481551,14.82,3.6,0.79,2.39%,5.75%,6.75%,-,TCH,6/30/2022 0:00,8.73,TCH
Q1 2022,406542,86790,195.2,-,10483054,1161538,9321516,13432.06,8721990,11.3,2.39,0.94,4.41%,9.63%,8.85%,-,TCH,3/31/2022 0:00,16.48,TCH
Q4 2021,620583,171675,388.72,300,10351780,1527793,8823987,12755.48,9080117,10.02,2.05,1.03,3.70%,8.37%,9.98%,1.92%,TCH,12/31/2021 0:00,20.74,TCH
Q3 2021,690011,119561,296.61,-,10990080,2686861,8303219,12293.02,7047768,7.75,1.54,0.85,11.93%,26.48%,12.90%,-,TCH,9/30/2021 0:00,13.49,TCH
Q2 2021,1936689,393967,983.42,-,9952781,2842269,7110512,12573.98,7613002,7.65,1.65,1.07,5.01%,16.73%,13.07%,-,TCH,6/30/2021 0:00,14.33,TCH
Q1 2021,1172137,220640,550.76,-,10267595,4089869,6177726,12100.43,7524684,9.64,2.37,1.22,4.78%,15.22%,10.38%,-,TCH,3/31/2021 0:00,15.02,TCH
Q4 2020,766999,174646,419.72,485.009,8656399,3936051,4720348,11483.88,5881972,9.32,2.63,1.25,7.28%,18.43%,10.73%,8.64%,TCH,12/31/2020 0:00,13.09,TCH
Q3 2020,743931,205549,465.42,-,8197816,3727978,4469838,11104.89,11534317,21.37,6.69,2.58,Upgrade,Upgrade,4.68%,-,TCH,9/30/2020 0:00,13.79,TCH
Q2 2020,,,,,,,,,,,,,,,,,TCH,6/30/2020 0:00,13.27,TCH
Q1 2020,,,,,,,,,,,,,,,,,TCH,3/31/2020 0:00,10.28,TCH
Q4 2019,,,,,,,,,,,,,,,,,TCH,12/31/2019 0:00,20.34,TCH
Q3 2024,127610,47069,413,-,7799014,4930252,2868762,25049.67,7881706,35.17,14.75,2.75,2.29%,7.55%,2.84%,-,SJS,9/30/2024 0:00,69.2,SJS
Q2 2024,118813,52266,458.88,-,7712959,4891404,2821556,24636.41,7175541,33.77,12.37,2.54,1.92%,6.42%,2.96%,-,SJS,6/30/2024 0:00,63,SJS
Q1 2024,118280,44076,386.98,-,7580304,4813693,2766611,24151.11,8314516,38.13,17.54,3.01,3.34%,11.84%,2.62%,-,SJS,3/31/2024 0:00,73,SJS
Q4 2023,169800,80716,707.42,-,7473979,4712392,2761587,23771.77,7904485,42.65,19,2.86,2.11%,5.27%,2.34%,-,SJS,12/31/2023 0:00,69.4,SJS
Q3 2023,173242,35443,311,-,6980891,4303462,2677430,23030.96,7050254,34.8,27.33,2.63,-0.52%,8.84%,2.88%,-,SJS,9/30/2023 0:00,61.9,SJS
Q2 2023,12759,57806,508.16,-,6917929,4275523,2642407,22719.78,4772304,28.12,22.16,1.81,-0.11%,1.62%,3.56%,-,SJS,6/30/2023 0:00,41.9,SJS
Q1 2023,60222,11373,99.25,-,6835179,4249543,2585636,22221.46,4897592,41.28,19.73,1.89,-0.80%,15.48%,2.43%,-,SJS,3/31/2023 0:00,43,SJS
Q4 2022,11781,98233,859.92,-,6779528,4204085,2575443,22114.85,5182335,43.4,13.64,2.01,0.61%,0.46%,2.31%,-,SJS,12/31/2022 0:00,45.5,SJS
Q3 2022,130605,2587,22.71,-,6784549,4306739,2477809,21254.44,7289439,216.05,12.38,2.94,0.06%,1.05%,0.52%,-,SJS,9/30/2022 0:00,64,SJS
Q2 2022,45640,6742,58.13,-,6740913,4264436,2476477,21239.21,8189229,184.82,12.74,3.31,0.46%,2.51%,0.59%,-,SJS,6/30/2022 0:00,71.9,SJS
Q1 2022,191785,12125,107.26,-,6729602,4518704,2210898,18902.93,10877209,204.98,13.98,4.92,1.86%,3.25%,0.53%,-,SJS,3/31/2022 0:00,95.5,SJS
Q4 2021,220626,16568,97.11,-,6946047,4747257,2198791,18801.62,9339593,154.38,12.5,4.25,0.96%,3.64%,0.69%,-,SJS,12/31/2021 0:00,82,SJS
Q3 2021,184791,13157,116,-,7004913,4824249,2180664,18656.15,7038864,156.71,4.84,3.23,1.30%,3.65%,0.68%,-,SJS,9/30/2021 0:00,61.8,SJS
Q2 2021,180604,15495,134.96,-,7053315,4891845,2161470,18540.64,6549105,158.5,4.71,3.03,1.23%,4.95%,0.68%,-,SJS,6/30/2021 0:00,57.5,SJS
Q1 2021,161016,19558,172.04,-,7009560,4829367,2180192,18737.47,4498950,109.67,3.58,2.06,11.07%,2.35%,0.98%,-,SJS,3/31/2021 0:00,39.5,SJS
Q4 2020,926879,-72.33,-28.84,300,7047540,4894165,2153376,18561.16,3206214,-,2.82,1.49,0.52%,1.68%,0.95%,1.07%,SJS,12/31/2020 0:00,28.15,SJS
Q3 2020,121106,9559,84,-,7045709,4905202,2140508,18561.8,2665201,25,4.03,1.25,0.77%,2.73%,4.32%,-,SJS,9/30/2020 0:00,23.4,SJS
Q2 2020,46991,15200,132.99,-,6899119,4770602,2128517,18451.53,2670896,26.16,4.55,1.25,0.34%,0.97%,4.15%,-,SJS,6/30/2020 0:00,23.45,SJS
Q1 2020,40926,5879,51.75,-,6793885,4552638,2241248,19426.99,1674293,17.87,2.54,0.75,Upgrade,Upgrade,6.11%,-,SJS,3/31/2020 0:00,14.7,SJS
Q4 2019,,,,,,,,,,,,,,,,,SJS,12/31/2019 0:00,17,SJS
Q3 2024,3525028,312170,1290,-,14069763,7542554,6527209,19500.48,9705405,18.08,0.77,1.49,4.36%,12.09%,5.53%,-,DBC,9/30/2024 0:00,29,DBC
Q2 2024,3184669,145435,601,-,13326282,8441004,4885278,20182.81,8228063,34.72,0.7,1.68,2.78%,6.18%,2.88%,-,DBC,6/30/2024 0:00,29.25,DBC
Q1 2024,3252592,72608,300,-,12511820,7772978,4738843,19581.84,7840860,18.74,0.65,1.65,1.18%,0.55%,5.34%,-,DBC,3/31/2024 0:00,27.87,DBC
Q4 2023,2613982,6452,26.66,-,13011704,8345469,4666235,19281.81,6630851,265.16,0.6,1.42,1.71%,1.07%,0.38%,-,DBC,12/31/2023 0:00,23.57,DBC
Q3 2023,2709251,12464,52,-,12224062,7564279,4659783,19255.15,5299841,-25.79,0.49,1.14,8.76%,29.15%,-3.88%,-,DBC,9/30/2023 0:00,18.84,DBC
Q2 2023,3473070,326820,1350,-,12521323,7874004,4647319,19203.65,5154640,-444.41,0.45,1.11,-4.99%,-28.63%,-0.23%,-,DBC,6/30/2023 0:00,18.32,DBC
Q1 2023,2313698,-320729,-1325.31,-,12136637,7816138,4320499,17853.17,3339626,-,0.3,0.77,-4.65%,-18.85%,-9.71%,-,DBC,3/31/2023 0:00,11.87,DBC
Q4 2022,2218459,-224044,-927.03,-,12974104,8332876,4641228,19178.48,3412226,-,0.3,0.74,6.30%,17.33%,0.15%,-,DBC,12/31/2022 0:00,12.13,DBC
Q3 2022,3566949,206354,853,-,11314200,6448928,4865272,20104.28,5166740,17.61,0.42,1.06,1.83%,1.22%,6.60%,-,DBC,9/30/2022 0:00,18.37,DBC
Q2 2022,2966373,14276,58.69,-,11511729,6852811,4658918,19251.58,4743236,21.08,0.41,1.02,1.56%,0.73%,5.75%,-,DBC,6/30/2022 0:00,16.86,DBC
Q1 2022,2805814,8609,35.71,-,11058575,6368980,4689595,19378.27,8642957,20.31,0.78,1.84,4.08%,9.41%,5.47%,-,DBC,3/31/2022 0:00,30.73,DBC
Q4 2021,3060720,111632,265.13,-,10862554,6176631,4685923,19363.09,8412478,10.76,0.78,1.8,4.67%,11.65%,9.86%,-,DBC,12/31/2021 0:00,29.91,DBC
Q3 2021,2681949,138010,570.48,-,10791670,5985520,4806150,19859.89,6614743,7.62,0.62,1.38,6.59%,18.69%,14.84%,-,DBC,9/30/2021 0:00,23.52,DBC
Q2 2021,2596413,214894,888.1,952.381,10603958,5933559,4670399,19298.95,7271608,6.51,0.69,1.56,10.87%,33.43%,16.92%,6.41%,DBC,6/30/2021 0:00,24.98,DBC
Q1 2021,2473713,365022,1508.66,-,10506503,5977443,4529060,18714.77,6086783,4.67,0.6,1.34,9.24%,25.85%,23.27%,-,DBC,3/31/2021 0:00,20.91,DBC
Q4 2020,2867039,263406,619.42,-,10101271,5894311,4206960,17383.8,5940114,4.62,0.59,1.41,12.37%,40.41%,23.57%,-,DBC,12/31/2020 0:00,20.41,DBC
Q3 2020,2549545,386812,1598.7,649.351,10214278,6270724,3943554,16295.37,4971048,3.61,0.54,1.26,12.69%,45.30%,28.06%,4.90%,DBC,9/30/2020 0:00,17.08,DBC
Q2 2020,2218242,401361,1659.5,-,10088991,6375104,3713888,15346.35,4651518,4.6,0.55,1.25,11.59%,43.59%,22.09%,-,DBC,6/30/2020 0:00,15.49,DBC
Q1 2020,2386758,348717,1440.99,-,9919635,6544961,3374674,13944.55,1705263,2.76,0.22,0.51,Upgrade,Upgrade,37.17%,-,DBC,3/31/2020 0:00,5.55,DBC
Q4 2019,,,,,,,,,,,,,,,,,DBC,12/31/2019 0:00,7.18,DBC
Q3 2024,1406831,289631,3538,-,3513669,573043,2940625,35922.2,9708707,9.55,1.94,3.3,27.71%,40.55%,10.47%,-,BMP,9/30/2024 0:00,113.46,BMP
Q2 2024,1153200,280301,3424,5740,3085178,434184,2650994,32384.12,8186094,8.75,1.8,3.09,18.21%,27.27%,11.43%,12.38%,BMP,6/30/2024 0:00,95.67,BMP
Q1 2024,1002851,189875,2319.48,-,3502099,622495,2879604,35176.78,9004703,9.48,1.91,3.13,24.50%,36.34%,10.55%,-,BMP,3/31/2024 0:00,99.85,BMP
Q4 2023,1454468,256863,3137.77,6100,3255001,565272,2689729,32857.29,8538096,8.2,1.66,3.17,18.88%,29.20%,12.19%,13.31%,BMP,12/31/2023 0:00,94.67,BMP
Q3 2023,926118,208790,2551,-,3477459,512497,2964963,36219.5,7040041,6.83,1.38,2.37,26.65%,41.65%,14.64%,-,BMP,9/30/2023 0:00,72.78,BMP
Q2 2023,1336479,294608,3599,6500,3526344,770172,2756172,33668.96,7563951,7.59,1.33,2.74,28.42%,40.66%,13.18%,15.09%,BMP,6/30/2023 0:00,78.19,BMP
Q1 2023,1439920,280745,3429.54,-,3430742,528678,2902064,35451.14,4780679,5.64,0.81,1.65,27.13%,37.55%,17.73%,-,BMP,3/31/2023 0:00,46.34,BMP
Q4 2022,1407880,246440,3010.48,5300,3044792,423473,2621319,32021.6,4911656,7.07,0.85,1.87,20.84%,27.57%,14.14%,17.64%,BMP,12/31/2022 0:00,47.61,BMP
Q3 2022,1495807,175137,2139,-,3064617,435970,2628647,32111.13,4715190,8.38,0.81,1.79,18.05%,23.84%,11.93%,-,BMP,9/30/2022 0:00,43.36,BMP
Q2 2022,1555074,145244,1774,3100,2943155,489645,2453510,29971.68,4723376,13.07,0.97,1.93,15.97%,21.63%,7.65%,10.25%,BMP,6/30/2022 0:00,43.43,BMP
Q1 2022,1349583,127447,1557,-,2890485,469563,2420922,29573.59,5026262,19.49,1.06,2.08,16.36%,20.03%,5.13%,-,BMP,3/31/2022 0:00,45.11,BMP
Q4 2021,1420058,114543,1399.24,1350,2838021,544546,2293475,28016.72,4903470,22.87,1.08,2.14,-2.82%,-4.53%,4.37%,6.03%,BMP,12/31/2021 0:00,43.08,BMP
Q3 2021,527066,-25958,-317,-,2557749,276491,2281258,27867.48,4322258,-,0.97,1.89,6.47%,7.12%,4.87%,-,BMP,9/30/2021 0:00,37.97,BMP
Q2 2021,1452317,41833,510.84,1250,2768230,461015,2307216,28184.57,4854354,12.45,0.97,2.1,9.76%,13.81%,8.03%,11.09%,BMP,6/30/2021 0:00,42.65,BMP
Q1 2021,1153315,83958,1026,-,2886397,494636,2391761,29217.37,4772493,9.47,0.99,2,12.55%,18.35%,10.56%,-,BMP,3/31/2021 0:00,40.87,BMP
Q4 2020,1300478,110822,1353.79,1480,3022746,551221,2471525,30191.75,5124495,9.81,1.09,2.07,15.96%,25.52%,10.20%,14.88%,BMP,12/31/2020 0:00,42.47,BMP
Q3 2020,1114505,153142,1871,2000,3227241,866539,2360702,28837.96,4985331,9.85,1.1,2.11,17.30%,24.94%,10.16%,17.36%,BMP,9/30/2020 0:00,39.4,BMP
Q2 2020,1250877,156253,1909,2840,3006204,566158,2440046,29807.2,4248583,8.98,0.94,1.74,11.75%,16.25%,11.14%,14.68%,BMP,6/30/2020 0:00,32.96,BMP
Q1 2020,1019780,102369,1251,-,2948951,377299,2571652,31414.89,2779179,6.4,0.63,1.08,Upgrade,Upgrade,15.62%,-,BMP,3/31/2020 0:00,20.64,BMP
Q4 2019,,,,,,,,,,,,,,,,,BMP,12/31/2019 0:00,27.48,BMP
Q3 2024,566916,137606,409.14,-,13958571,6402843,7555728,18395.43,9400466,14.13,3.32,1.24,3.69%,5.29%,7.08%,-,HDG,9/30/2024 0:00,27.95,HDG
