600079.SS,HUMANWELL HEALTHCARE,Healthcare,Drug Manufacturers - Specialty & Generic,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,20906214716.471558,nan,12.808375358581543
600081.SS,"Dong Feng Electronic Technology Co.,Ltd.",Consumer Cyclical,Auto Parts,2019,nan,nan,nan,nan,0.136229,nan,nan,nan,0.012865222168934775,5855956141.686584,nan,10.588934898376465
600082.SS,HI-TECH DEV,Industrials,Conglomerates,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,2579624207.2149353,nan,3.992509603500366
600085.SS,TONGRENTANG,Healthcare,Drug Manufacturers - Specialty & Generic,2019,nan,nan,nan,nan,0.76,nan,nan,nan,0.028512534681009845,36556454036.133545,nan,26.654943466186523
600088.SS,CHINA TV MEDIA,Communication Services,Entertainment,2019,nan,nan,nan,nan,0.087,nan,nan,nan,0.0065814102406865785,5257295829.106445,nan,13.219051361083984
600089.SS,TEBA,Industrials,Electrical Equipment & Parts,2019,nan,nan,nan,nan,0.138462,nan,nan,nan,0.03131143157694739,22343896159.1333,nan,4.422091007232666
600095.SS,XIANGCAI,Consumer Defensive,Farm Products,2019,nan,nan,nan,nan,0.013,nan,nan,nan,0.001376435810162662,27004143552.18457,nan,9.444683074951172
600096.SS,YUNTIANHUA,Basic Materials,Agricultural Inputs,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,8788218771.110413,nan,4.790969371795654
600097.SS,KAICHUANG INT'L,Consumer Defensive,Farm Products,2019,nan,nan,nan,nan,0.18,nan,nan,nan,0.01988480229788568,2180995209.824707,nan,9.052139282226562
600098.SS,GUANGZHOU DEV,Energy,Thermal Coal,2019,nan,nan,nan,nan,0.1,nan,nan,nan,0.017272201364940353,20300306914.654297,nan,5.789649963378906
600099.SS,LINHAI,Consumer Cyclical,Auto Parts,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,1437321135.635376,nan,6.559515953063965
600101.SS,MINGXING ELECTRIC,Utilities,Utilities - Diversified,2019,nan,nan,nan,nan,0.029586,nan,nan,nan,0.005773717684186646,2807384512.3688965,nan,5.1242547035217285
600103.SS,QINGSHAN PAPER,Basic Materials,Paper & Paper Products,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,4546662683.4599,nan,2.017815351486206
600104.SS,SAIC MOTOR,Consumer Cyclical,Auto Manufacturers,2019,nan,nan,nan,nan,1.26,nan,nan,nan,0.06296265747386647,231643305827.96094,nan,20.01186180114746
600105.SS,ETERN,Technology,Communication Equipment,2019,nan,nan,nan,nan,0.15,nan,nan,nan,0.034083989952913216,6434061936.497437,nan,4.400893211364746
600106.SS,CHONGQING ROAD & BRIDGE,Industrials,Infrastructure Operations,2019,nan,nan,nan,nan,0.055372,nan,nan,nan,0.02116021630147625,3477802353.127075,nan,2.61679744720459
600108.SS,YASHENG GP,Consumer Defensive,Farm Products,2019,nan,nan,nan,nan,0.0045,nan,nan,nan,0.001555693550995405,5631661651.097168,nan,2.8926005363464355
600109.SS,SINOLINK SECURITIES,Financial Services,Asset Management,2019,nan,nan,nan,nan,0.04,nan,nan,nan,0.004487974138987215,33088961861.42285,nan,8.912707328796387
600110.SS,NUODE,Industrials,Electrical Equipment & Parts,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,7966194290.550293,nan,4.59099006652832
600111.SS,CNREHT,Basic Materials,Other Industrial Metals & Mining,2019,nan,nan,nan,nan,0.05,nan,nan,nan,0.004739183467816655,38140219476.09326,nan,10.55034065246582
600113.SS,ZJDR,Industrials,Industrial Distribution,2019,nan,nan,nan,nan,0.04,nan,nan,nan,0.006049945793875949,2785922534.555786,nan,6.611629486083984
600114.SS,NBTM,Consumer Cyclical,Auto Parts,2019,nan,nan,nan,nan,0.4,nan,nan,nan,0.05017721657699665,4913648209.674316,nan,7.971745491027832
600116.SS,THREE GORGES WATER CONSERVANCY,Utilities,Utilities - Renewable,2019,nan,nan,nan,nan,0.1,nan,nan,nan,0.014179264980436805,13485466521.982544,nan,7.052551746368408
600118.SS,CHINA SPACESAT,Industrials,Aerospace & Defense,2019,nan,nan,nan,nan,0.11,nan,nan,nan,0.005220184535886886,24917490434.63672,nan,21.072052001953125
600120.SS,ZHEJIANG ORIENT,Financial Services,Asset Management,2019,nan,nan,nan,nan,0.035221,nan,nan,nan,0.006729059005152486,17876659687.60547,nan,5.234164237976074
600123.SS,LANHUA SCI-TECH VENTURE,Energy,Thermal Coal,2019,nan,nan,nan,nan,0.230769,nan,nan,nan,0.06167477459982601,5512434192.668701,nan,3.7417080402374268
600125.SS,TIELONG LOGISTICS,Industrials,Railroads,2019,nan,nan,nan,nan,0.12,nan,nan,nan,0.021910946346886156,7149960459.022522,nan,5.476714611053467
600126.SS,HANG STEEL,Basic Materials,Steel,2019,nan,nan,nan,nan,0.12,nan,nan,nan,0.02773866568435435,14610031757.532715,nan,4.326091289520264
600128.SS,SOHO HOLLY,Consumer Cyclical,Specialty Retail,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,1743940616.4093018,nan,7.067126274108887
600129.SS,TAIJI GP,Healthcare,Drug Manufacturers - Specialty & Generic,2019,nan,nan,nan,nan,0.1,nan,nan,nan,0.008865642700672194,6281451066.799438,nan,11.279498100280762
600131.SS,STATE GRID,Utilities,Utilities - Renewable,2019,nan,nan,nan,nan,0.05,nan,nan,nan,0.002652694309625438,22651686544.49463,nan,18.8487606048584
600132.SS,CHONGQING BREWERY,Consumer Defensive,Beverages - Brewers,2019,nan,nan,nan,nan,0.8,nan,nan,nan,0.017543976180738212,22068931376.29126,nan,45.59969711303711
600133.SS,EAST LAKE HIGH TECH,Industrials,Engineering & Construction,2019,nan,nan,nan,nan,0.025,nan,nan,nan,0.00512636690764956,5199783878.173828,nan,4.876748085021973
600135.SS,LUCKY FILM,Basic Materials,Chemicals,2019,nan,nan,nan,nan,0.012,nan,nan,nan,0.0017167834596041424,3867514018.064331,nan,6.989815711975098
600137.SS,LANGSHA,Consumer Cyclical,Apparel Manufacturing,2019,nan,nan,nan,nan,0.12,nan,nan,nan,0.008070040980292043,1445607528.944397,nan,14.869812965393066
600138.SS,CYTS ,Consumer Cyclical,Lodging,2019,nan,nan,nan,nan,0.14,nan,nan,nan,0.01124779661375373,9009551246.33789,nan,12.446882247924805
600141.SS,XINGFA GP,Basic Materials,Chemicals,2019,nan,nan,nan,nan,0.2,nan,nan,nan,0.021639889631147626,10196448011.564941,nan,9.242191314697266
600143.SS,KINGFA SCI. & TECH.,Basic Materials,Specialty Chemicals,2019,nan,nan,nan,nan,0.1,nan,nan,nan,0.015198074093538997,17348316844.440674,nan,6.5797810554504395
600148.SS,CHANGCHUN YIDONG,Consumer Cyclical,Auto Parts,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,1830987683.2809448,nan,12.938379287719727
600150.SS,CHINA CSSC,Industrials,Aerospace & Defense,2019,nan,nan,nan,nan,0.107,nan,nan,nan,0.004962967255314137,96424174076.02051,nan,21.559682846069336
600153.SS,CONS AND DEV,Industrials,Specialty Business Services,2019,nan,nan,nan,nan,0.5,nan,nan,nan,0.07614834234132827,19351044378.549194,nan,6.566131114959717
600157.SS,WINTIME ENERGY,Energy,Thermal Coal,2019,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,31659648371.18164,nan,1.4249677658081055
600158.SS,CHINA SPORTS IND,Real Estate,Real Estate Services,2019,nan,nan,nan,nan,0.03,nan,nan,nan,0.003025077328373803,9515588395.049133,nan,9.917101860046387
600160.SS,JUHUA,Basic Materials,Chemicals,2019,nan,nan,nan,nan,0.15,nan,nan,nan,0.021958831518827417,18441895820.03882,nan,6.8309645652771
600161.SS,TIANTAN BIO,Healthcare,Biotechnology,2019,nan,nan,nan,nan,0.024113,nan,nan,nan,0.001517222523934783,31426057596.70459,nan,15.89285659790039
600162.SS,HEUNGKONG HOLDING,Real Estate,Real Estate - Development,2019,nan,nan,nan,nan,0.075,nan,nan,nan,0.04293759785408103,5709052603.106934,nan,1.7467209100723267
