,Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
200,600378.SS,CTYC,Basic Materials,Chemicals,2021,0.988,6.500802695,0.076462226,1.609891057,0.247,47.04893552,0.093547716,7.150555166,0.005313616,51531617348.0,11658860395.0,46.4843483
201,600379.SS,SBVE,Industrials,Electrical Equipment & Parts,2021,0.1538,1.851307798,0.045448892,1.753546264,0.042,102.8881643,0.053178329,8.547579011,0.002654163,5225182128.0,1117388216.0,15.82419968
202,600380.SS,JOINCARE,Healthcare,Drug Manufacturers - Specialty & Generic,2021,0.6864,6.306847323,0.042711667,1.541352825,0.15,17.89140812,0.11130157,1.947195153,0.012214325,23016418512.0,31103900389.0,12.28066254
203,600382.SS,GUANGDONG MINGZHU,Technology,Electronic Components,2021,1.19,5.964408496,0.171957104,1.288261214,0.1,3.589779189,0.084149886,0.716221439,0.023409132,2966397950.0,5389065438.0,4.271837234
204,600383.SS,GEMDALE,Real Estate,Real Estate - Development,2021,2.08,13.95061506,0.020331304,4.199462952,0.7,5.773781355,0.272653075,0.860855609,0.058287358,54217691098.0,462810000000.0,12.00946522
205,600386.SS,BEI BA MEDIA,Consumer Cyclical,Auto Parts,2021,0.17,2.279530404,0.030271051,2.195147023,0.08,25.0688048,0.128653903,1.869550328,0.018771866,3436632312.0,4385119365.0,4.261696815
206,600388.SS,LONGKING,Industrials,Pollution & Treatment Controls,2021,0.8,5.423225101,0.031971855,3.830888104,0.18,10.26300192,0.19782854,1.513933385,0.02192341,10427620864.0,26909559947.0,8.210401535
207,600389.SS,JIANGSHAN,Basic Materials,Agricultural Inputs,2021,1.895862,5.451718161,0.143755776,2.364672948,1.034483,13.70785889,0.107372178,4.766975842,0.03980586,11191821691.0,5679443511.0,25.98820877
208,600390.SS,MINMETALS CAPITAL,Financial Services,Financial Conglomerates,2021,0.67,10.49787151,0.023175182,2.570404591,0.352,7.317150885,0.428353782,0.466998581,0.071800232,22051748188.0,146799000000.0,4.902491093
209,600392.SS,SHENGHE RESOURCES,Basic Materials,Other Industrial Metals & Mining,2021,0.61,5.340988374,0.071036584,1.515483254,0.05,31.51821074,0.168875814,3.59972859,0.00260063,33700098929.0,15147806686.0,19.22610855
210,600395.SS,PANJIANG,Energy,Thermal Coal,2021,0.708,3.224813065,0.057185093,2.578993855,0.4,8.763957158,0.22391592,1.924105845,0.064465371,13319523285.0,20501948653.0,6.204881668
211,600398.SS,HLA,Consumer Cyclical,Apparel Manufacturing,2021,0.58,3.12043799,0.079072464,2.088034739,0.256,8.47923509,0.124839177,1.576046814,0.052054142,23619812836.0,31505922475.0,4.917956352
212,600399.SS,FUSHUN SPECIAL STEEL,Basic Materials,Steel,2021,0.4,2.97093663,0.076625923,1.744942857,0.0,61.33724213,0.235680357,8.258303661,0.0,48385269294.0,10223592341.0,24.53489685
213,600400.SS,HONGDOU,Consumer Cyclical,Apparel Manufacturing,2021,0.03,1.365082454,0.015732897,1.504057499,0.12,121.5902567,0.173326773,2.67215192,0.032897373,8377216483.0,4892495143.0,3.647707701
214,600403.SS,DAYOU ENERGY,Energy,Thermal Coal,2021,0.54,3.039723675,0.059803617,2.806047422,0.0,6.719196726,0.287369486,1.193650022,0.0,8674734677.0,21553005515.0,3.628366232
215,600406.SS,NARI,Industrials,Specialty Industrial Machinery,2021,0.708333,4.730207263,0.077577607,1.793995198,0.243056,36.96786174,0.018926793,5.535815866,0.009282064,210344000000.0,72732951414.0,26.18555641
216,600409.SS,SANYOU CHEM IND,Basic Materials,Specialty Chemicals,2021,0.8095,6.201800969,0.064296137,1.887366316,0.245,9.909516135,0.269814769,1.293455458,0.030541951,16559706063.0,25989223889.0,8.021753311
217,600415.SS,COMMODITIES CITY,Real Estate,Real Estate - Diversified,2021,0.25,2.664438055,0.043015044,2.11981206,0.055,18.49516106,0.180049533,1.73537165,0.011895003,25355247704.0,31014635513.0,4.623790264
218,600418.SS,JIANGHUAI AUTO,Consumer Cyclical,Auto Manufacturers,2021,0.1,6.978869916,0.00431311,2.92237419,0.023,173.4262085,0.228652623,2.4850185,0.001326212,37876457084.0,46370101935.0,17.34262085
219,600419.SS,TERUN DAIRY,Basic Materials,Paper & Paper Products,2021,0.5572,6.930081813,0.043106072,1.50826311,0.165,22.84773459,0.078382128,1.837028488,0.012960737,4076261516.0,3472149518.0,12.73075771
220,600420.SS,SINOPHARM MODERN,Healthcare,Drug Manufacturers - Specialty & Generic,2021,0.5534,6.40691581,0.029799786,1.838979906,0.1,18.02562849,0.187556469,1.556971108,0.010024678,13378684635.0,19069961392.0,9.975382805
221,600422.SS,KPC,Healthcare,Drug Manufacturers - Specialty & Generic,2021,0.67,6.319006577,0.057086726,1.800071256,0.23,15.75699849,0.093107419,1.670703909,0.021786102,7991538691.0,8892918547.0,10.55718899
222,600425.SS,QINGSONG BUILDING CHEMICALS,Basic Materials,Building Materials,2021,0.23,3.135844487,0.037106658,1.623081456,0.0,15.11467954,0.239471194,1.108593334,0.0,5578541152.0,8487096724.0,3.476376295
223,600426.SS,HUALU HENGSHENG,Basic Materials,Chemicals,2021,3.439,10.48974089,0.253607254,1.261757752,0.230769,8.332183452,0.083190305,2.731657455,0.008053533,60840983526.0,28669908379.0,28.65437889
224,600428.SS,COSCO SHIPPING SPECIALIZED,Industrials,Marine Shipping,2021,0.14,4.484997051,0.01309503,2.375854652,0.02,33.34712301,0.386473111,1.04093652,0.004283942,10021844151.0,22934439443.0,4.668597221
225,600429.SS,SANYUAN,Consumer Defensive,Packaged Foods,2021,0.199,3.762271619,0.017082085,2.269694464,0.005,29.46357631,0.275673412,1.558433915,0.000852769,8848702367.0,17474882694.0,5.863251686
