Comp_data,Year,Quarter,EPS,BVPS,ROA,ROE,P/E Ratio,DAR,MB,DY,DIV,Market Cap,Total Assets,Stock Price,Time,SIZE
VIB,2024,2,564.9176888,12873.03915,0.018870795,0.205194757,7.334694021,0.911012057,1.479837028,0.0,0.0,56752400000000.0,430962000000000.0,17.95,2024-06-30,33.69704103509199
VIB,2024,3,536.792343,13407.30827,0.016905476,0.185849709,7.975497022,0.910318603,1.439513406,0.0,0.0,57497200000000.0,445378000000000.0,19.3,2024-09-30,33.72994447572858
VIB,2023,1,849.5366602,12839.13563,0.025339566,0.284012095,5.772929156,0.908829463,1.56552595,0.0,0.0,50989800000000.0,357247000000000.0,14.03,2023-03-31,33.50944853522251
VIB,2023,2,929.6724203,13367.13391,0.02525221,0.276642322,5.544383797,0.910448444,1.470023428,0.0,0.0,49848300000000.0,378663000000000.0,15.85,2023-06-30,33.567667743396065
VIB,2023,3,846.3010974,14206.73643,0.024264981,0.262699214,6.001884654,0.90624879,1.481691457,0.0,0.0,53399800000000.0,384419000000000.0,15.61,2023-09-30,33.58275421948268
VIB,2023,4,749.76362,14955.64267,0.022753493,0.242611608,6.981271775,0.907439004,1.577999724,0.052966102,0.837394068,59868700000000.0,409881000000000.0,15.81,2023-12-31,33.64688798959555
VIB,2022,1,864.9994793,12341.32224,0.022517116,0.290310763,7.512270498,0.92208641,1.968994855,0.0,0.0,51216500000000.0,333850000000000.0,21.89,2022-03-31,33.441712906232425
VIB,2022,2,1041.579058,13403.25313,0.0227642,0.288518251,5.688774477,0.918828098,1.469792431,0.0,0.0,41521200000000.0,348023000000000.0,13.52,2022-06-30,33.48328968547307
VIB,2022,3,1059.655392,14460.37492,0.025188176,0.307789921,5.520620861,0.910598955,1.524856729,0.0,0.0,46474200000000.0,340910000000000.0,13.83,2022-09-30,33.46263962875774
VIB,2022,4,1051.832546,15491.51261,0.025965226,0.297453529,5.165811407,0.904826646,1.342670695,0.072115385,0.861778846,43839600000000.0,343069000000000.0,11.95,2022-12-31,33.468952709044046
VIB,2021,1,931.1518685,12442.98631,0.022773163,0.302703321,14.62041198,0.92505513,3.954034729,0.0,0.0,76414600000000.0,257866000000000.0,15.43,2021-03-31,33.18346118608077
VIB,2021,2,1106.00441,13552.09411,0.023848156,0.316132903,9.498171755,0.924068156,2.671173895,0.0,0.0,56223800000000.0,277200000000000.0,23.03,2021-06-30,33.255760383244294
VIB,2021,3,713.4262621,14266.9214,0.021384628,0.282845713,11.8410566,0.922260252,3.04200176,0.0,0.0,67406400000000.0,285035000000000.0,16.46,2021-09-30,33.28363309567458
VIB,2021,4,1376.372948,15639.73189,0.023131841,0.303315634,10.03161924,0.921520531,2.647104201,0.0,0.0,64300100000000.0,309517000000000.0,22.03,2021-12-31,33.36603413384685
VIB,2020,1,930.5105539,15451.52727,0.019392596,0.268390305,5.195787796,0.926105834,1.275407904,0.0,0.0,18219000000000.0,193314000000000.0,3.52,2020-03-31,32.89533692580057
VIB,2020,2,1108.63444,16458.34248,0.019550468,0.266613598,8.352168934,0.924812917,2.028636847,0.0,0.0,30866900000000.0,202370000000000.0,4.82,2020-06-30,32.94111882101212
VIB,2020,3,1203.261779,14919.84969,0.020941647,0.279301522,9.108098108,0.922323038,2.285545814,0.0,0.0,37830100000000.0,213086000000000.0,7.68,2020-09-30,32.99271695601905
VIB,2020,4,1280.48725,16201.56014,0.021632137,0.295657504,13.0956663,0.926555033,3.382390309,0.0,0.0,60794500000000.0,244701000000000.0,10.78,2020-12-31,33.13105817300552
VJC,2024,1,989.9787549,29592.75487,0.009556264,0.04928835,72.65413221,0.812975319,3.44678961,0.0,0.0,55244400000000.0,85828200000000.0,103.0,2024-03-31,32.08336873975055
VJC,2024,2,544.0101647,30451.32254,0.012876556,0.068956873,53.21367011,0.820860948,3.52365648,0.0,0.0,58114900000000.0,92205900000000.0,101.5,2024-06-30,32.15504523576695
VJC,2024,3,1055.34253,30832.41788,0.017151759,0.094311027,34.93646639,0.821650223,3.197932786,0.0,0.0,53402900000000.0,93766300000000.0,105.0,2024-09-30,32.171826632332674
VJC,2023,1,317.9528432,27931.85527,-0.033673314,-0.140167274,-22.6635615,0.781324376,3.361753063,0.031948882,3.396166135,50857300000000.0,69276900000000.0,106.3,2023-03-31,31.869132633223167
VJC,2023,2,-68.4771119,27420.09328,-0.031701871,-0.141336607,-24.26816659,0.791184279,3.563080512,0.030706244,2.895598771,52915400000000.0,71225000000000.0,94.3,2023-06-30,31.89686499631252
VJC,2023,3,249.4757313,28097.8707,-0.029360571,-0.140426211,-27.3405385,0.801228178,3.74761494,0.028490029,2.82905983,57031700000000.0,76538500000000.0,99.3,2023-09-30,31.96881499813804
VJC,2023,4,232.9345147,28123.2703,0.002976089,0.015316697,251.3213464,0.815394499,3.804678434,0.028037383,3.028037386,57952400000000.0,84681100000000.0,108.0,2023-12-31,32.069913552191146
VJC,2022,1,451.1767077,31556.61616,0.004082939,0.01267705,314.5619249,0.706000925,3.954796654,0.0,0.0,67593100000000.0,58202000000000.0,140.5,2022-03-31,31.69494083433667
VJC,2022,2,-185.8416963,31719.87074,0.002053696,0.006741689,512.8155602,0.725525499,3.426873989,0.0,0.0,58873200000000.0,62668800000000.0,130.0,2022-06-30,31.768884832064145
VJC,2022,3,75.04944283,32327.69169,0.00137511,0.004805052,706.6222093,0.740150683,3.331509129,0.0,0.0,58331500000000.0,67470200000000.0,110.9,2022-09-30,31.84270713484391
VJC,2022,4,-4350.375238,27469.62269,-0.037805771,-0.142508378,-23.57955348,0.787905677,3.585779139,0.0,0.0,53348700000000.0,67146800000000.0,109.5,2022-12-31,31.837902383257443
VJC,2021,1,229.6392408,27012.85073,0.025428889,0.080860898,53.50767688,0.691994942,4.442330105,0.0,0.0,64993400000000.0,47497800000000.0,131.6,2021-03-31,31.49170451010706
VJC,2021,2,-0.545885406,31319.37688,0.00311865,0.009770109,477.2136582,0.659508274,4.275308558,0.0,0.0,72521800000000.0,49855900000000.0,121.5,2021-06-30,31.540157960398183
VJC,2021,3,134.6012409,31233.18394,0.024406406,0.075082982,55.53406087,0.667732057,3.986145,0.0,0.0,67430600000000.0,50948700000000.0,127.9,2021-09-30,31.56184036006077
VJC,2021,4,-187.9692052,31119.89641,0.001962741,0.005975843,732.0117837,0.674135899,4.174178419,0.0,0.0,70355300000000.0,51784800000000.0,128.3,2021-12-31,31.578117785839694
VJC,2020,1,-1888.732281,26251.12898,0.039105931,0.118850553,28.39394352,0.706775986,3.599845175,0.0,0.0,49502700000000.0,46905100000000.0,96.5,2020-03-31,31.479147527473064
VJC,2020,2,1976.81275,28564.18012,0.04963859,0.155096442,23.32463778,0.676882687,3.542898819,0.0,0.0,53012500000000.0,46317300000000.0,108.0,2020-06-30,31.46653665733891
VJC,2020,3,-1854.304233,26687.11806,-0.008337314,-0.026748381,-169.8569479,0.691359753,4.713884793,0.0,0.0,65898900000000.0,45304400000000.0,104.6,2020-09-30,31.444425273943526
VJC,2020,4,1837.507196,27653.26365,0.001459109,0.004684898,959.4456535,0.681878085,4.484100017,0.0,0.0,67159800000000.0,47088300000000.0,125.0,2020-12-31,31.48304567844932
VNM,2024,1,1050.102274,15241.55483,0.175241979,0.288600308,15.0421043,0.305616582,4.349949907,0.058069382,3.764057315,138564000000000.0,51653900000000.0,64.82,2024-03-31,31.575586816872054
