,Revenue,Net Income,EPS (Diluted),Dividend Per Share,Total Assets,Total Liabilities,Shareholders' Equity,Book Value Per Share,Market Capitalization,PE Ratio,PS Ratio,PB Ratio,Return on Assets (ROA),Return on Equity (ROE),Earnings Yield,Dividend Yield,Stock Symbol,Date,Stock Price,Symbol
Q1 2020,13991,624.32,45.00,-,152293,4822,147471,10629.59,1185420,316.79,17.39,8.04,-1.83%,-1.05%,0.32%,-,CAG,2020-03-31 00:00:00,77.89,CAG
Q3 2024,,,,,,,,,,,,,,,,,CAG,2024-09-30 00:00:00,7.8,CAG
Q2 2024,,,,,,,,,,,,,,,,,CAG,2024-06-30 00:00:00,9.9,CAG
Q1 2024,,,,,,,,,,,,,,,,,CAG,2024-03-31 00:00:00,7.36,CAG
Q4 2019,,,,,,,,,,,,,,,,,CAG,2019-12-31 00:00:00,77.89,CAG
Q3 2024,38704,2447,257.83,-,194211,20001,174210,18352.98,106313,7.79,0.44,0.61,4.62%,11.53%,12.84%,-,DHP,2024-09-30 00:00:00,10.73,DHP
Q2 2024,91494,4890,515.13,500.000,217833,48249,169584,17865.63,104414,7.66,0.44,0.62,8.57%,7.55%,13.05%,4.74%,DHP,2024-06-30 00:00:00,10.54,DHP
Q1 2024,68880,3220,339.24,-,254454,84720,169735,17881.47,106313,8.44,0.47,0.63,3.29%,7.30%,11.85%,-,DHP,2024-03-31 00:00:00,10.27,DHP
Q4 2023,42056,3098,326.42,-,211971,40695,171275,18043.79,106313,8.33,0.46,0.62,3.74%,5.80%,12.00%,-,DHP,2023-12-31 00:00:00,9.85,DHP
Q3 2023,36773,2422,255.12,-,222947,54756,168191,17718.83,94922,9.01,0.44,0.56,4.06%,9.27%,11.10%,-,DHP,2023-09-30 00:00:00,8.79,DHP
Q2 2023,79638,3859,406.49,500.000,242242,76464,165778,17464.68,116754,9.93,0.49,0.70,7.03%,8.05%,10.07%,9.24%,DHP,2023-06-30 00:00:00,10.82,DHP
Q1 2023,70462,3378,355.87,-,258806,91576,167230,17617.60,104414,7.74,0.40,0.62,-0.39%,2.08%,12.92%,-,DHP,2023-03-31 00:00:00,9.28,DHP
Q4 2022,30706,873.69,92.04,500.000,231500,62902,168598,17761.74,119602,8.61,0.45,0.71,5.04%,8.79%,11.62%,9.79%,DHP,2022-12-31 00:00:00,10.21,DHP
Q3 2022,55117,3648,384.31,-,208531,40767,167764,17673.91,109160,7.96,0.40,0.65,6.52%,13.64%,12.56%,-,DHP,2022-09-30 00:00:00,9.32,DHP
Q2 2022,105804,5592,589.07,500.000,222071,57955,164116,17289.60,100617,8.34,0.41,0.61,8.06%,9.20%,11.99%,11.64%,DHP,2022-06-30 00:00:00,8.59,DHP
Q1 2022,71596,3780,398.17,-,258418,94644,163774,17253.55,121500,9.96,0.49,0.74,-,-,10.04%,-,DHP,2022-03-31 00:00:00,9.98,DHP
Q4 2021,37812,691.96,72.90,500.000,214497,49756,164741,17355.37,128145,10.35,0.49,0.78,-,-,9.66%,4.93%,DHP,2021-12-31 00:00:00,10.13,DHP
Q3 2021,30874,2005,-,-,-,-,-,-,105363,8.09,0.42,-,7.42%,14.16%,12.35%,-,DHP,2021-09-30 00:00:00,8.33,DHP
Q2 2021,107002,5728,603.43,-,208723,46657,162066,17073.65,102516,7.77,0.38,0.63,8.88%,9.76%,12.87%,-,DHP,2021-06-30 00:00:00,8.11,DHP
Q1 2021,86137,3951,416.24,-,248204,86630,161573,17021.70,98719,8.59,0.40,0.61,2.05%,3.30%,11.65%,-,DHP,2021-03-31 00:00:00,7.45,DHP
Q4 2020,27445,1334,140.49,500.000,195876,33491,162384,17107.12,93973,7.96,0.35,0.58,3.44%,5.36%,12.56%,7.42%,DHP,2020-12-31 00:00:00,6.74,DHP
Q3 2020,46210,2176,229.29,-,186041,24968,161073,16968.98,90176,7.52,0.34,0.56,4.25%,9.98%,13.30%,-,DHP,2020-09-30 00:00:00,6.47,DHP
Q2 2020,88487,4037,425.31,-,201853,38197,163656,17241.16,92074,7.32,0.32,0.56,8.38%,10.61%,13.66%,-,DHP,2020-06-30 00:00:00,6.26,DHP
Q1 2020,104383,4254,-,-,239404,79288,160116,-,93024,7.43,0.32,0.58,Upgrade,Upgrade,13.46%,-,DHP,2020-03-31 00:00:00,6.33,DHP
Q4 2019,,,,,,,,,,,,,,,,,DHP,2019-12-31 00:00:00,5.01,DHP
Q3 2024,494920,521.48,-,-,244037,101311,142727,-,118800,12.30,0.05,0.83,-,14.27%,8.13%,-,PMB,2024-09-30 00:00:00,9.9,PMB
Q2 2024,667611,5282,440.18,-,236920,85098,151822,12651.84,135600,12.04,0.06,0.89,-,13.01%,8.31%,-,PMB,2024-06-30 00:00:00,10.47,PMB
Q1 2024,594057,4693,-,-,-,-,144314,12026.15,118800,12.89,0.05,0.82,-,-,7.76%,-,PMB,2024-03-31 00:00:00,9.17,PMB
Q4 2023,530268,-841.7,-70.14,800.000,184931,40617,144314,12026.15,117600,-,0.05,0.81,-,-,5.38%,8.81%,PMB,2023-12-31 00:00:00,9.08,PMB
Q3 2023,493562,2133,-,-,-,-,-,-,122400,-140.83,0.06,-,4.10%,8.24%,-0.71%,-,PMB,2023-09-30 00:00:00,9.45,PMB
Q2 2023,615157,3233,269.40,-,208402,50721,157681,13140.05,117600,37.86,0.05,0.75,-,-,2.64%,-,PMB,2023-06-30 00:00:00,9.08,PMB
