,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
9,Total Current Assets,1204,1223,997.58,972.38,978.38,958.35,885.01,934.12,936.6,1036,1122,1160,1219,1092,1072,1140,1165,1151,880.87,959.85,Upgrade
10,"Property, Plant & Equipment",634.58,628.07,635.75,634.36,606.17,599.65,601.07,595.56,595.19,594.17,599.06,590.6,598.55,604.33,607.98,607.72,613.34,623.27,627.25,638.2,Upgrade
11,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28.21,28.21,28.21,Upgrade
12,Other Intangible Assets,52.04,52.94,53.95,55.23,56.63,58.03,58.63,60.02,73.73,76,77.98,79.9,95.31,97.13,99.39,101.71,127.74,131.25,134.34,140.13,Upgrade
13,Long-Term Deferred Tax Assets,62.93,65.79,66.53,67.36,77.52,78.48,79.65,79.88,77.28,76.36,71.52,69.03,70.28,71.05,67.9,68.83,68.93,67.32,65.45,63.43,Upgrade
14,Long-Term Deferred Charges,0.13,0.14,0.1,0.15,5.63,5.7,7.22,7.33,7.48,8.06,9.46,9.75,12.44,12.52,12.68,12.92,22.11,21.37,20.68,21.22,Upgrade
15,Other Long-Term Assets,133.93,124.8,154.83,129.44,157.93,159.91,165.9,168.16,178.94,191.65,197.86,205.18,186.85,293.12,285.25,278.97,193.91,195.52,201.63,192.65,Upgrade
16,Total Assets,2087,2095,1909,1859,1882,1860,1797,1845,1869,1982,2077,2114,2182,2170,2145,2210,2191,2218,1958,2044,Upgrade
17,Accounts Payable,308.48,296.75,221.04,195.31,211.01,175.43,152.93,152.27,191.2,231.11,242.19,257.35,320.19,238.59,172.28,157.26,137.42,150.68,154.92,154.38,Upgrade
18,Accrued Expenses,90.95,89.8,58.56,121.17,72.18,93.55,52.76,116.69,67.74,95.57,51.89,122.27,66.5,88.77,51.1,107.26,50.46,60.77,45.74,93.13,Upgrade
19,Short-Term Debt,184.21,215.43,214.26,187.22,257.08,312.35,312.39,352.47,352.45,422.63,374.55,374.53,404.53,474.82,474.78,504.75,524,424,524,474,Upgrade
20,Current Portion of Long-Term Debt,-,0.8,-,0.41,-,-,-,-,-,-,-,-,-,22.03,0.78,-,0.6,250.6,250,330,Upgrade
21,Current Portion of Leases,3.8,3.99,5.21,5.69,3.02,2.9,19.36,3.87,6.36,23.29,190.16,186.86,182.58,159.95,287.58,284.51,282.71,280.92,-,-,Upgrade
22,Current Income Taxes Payable,42.88,36.46,36.69,26.83,30.57,29.35,39.5,26.46,46.2,34.83,52.43,52.68,62.64,35.08,36.58,31.66,41.5,21.16,25.81,19.68,Upgrade
23,Current Unearned Revenue,33.85,37.26,33.6,33.13,34.64,33.73,42.44,34.19,45.34,43.37,42.69,29.32,30.97,26.86,23.16,18.83,21.27,20.22,21.49,16.1,Upgrade
24,Other Current Liabilities,58.05,95.75,44.64,29.68,47.52,29.99,33.28,29.89,36.67,13.76,35.19,17.46,30.46,11.98,24.44,16.65,34.84,26.92,24.95,35.19,Upgrade
25,Total Current Liabilities,722.22,776.25,613.99,599.44,656.03,677.29,652.66,715.84,745.97,864.56,989.09,1040,1098,1058,1071,1121,1093,1235,1047,1122,Upgrade
26,Long-Term Debt,39,39,19.6,19.6,-,-,-,-,-,-,-,-,-,60.13,81.7,121.7,182,87.8,65.8,65.8,Upgrade
27,Long-Term Leases,7.13,7.7,7.69,8.3,7.02,2.36,3.53,3.6,2.38,2.83,4.22,5.04,7.78,8.67,9.74,-,-,-,-,-,Upgrade
28,Long-Term Unearned Revenue,16.96,18.02,19.08,20.13,21.25,22.37,23.48,24.6,25.72,26.83,27.95,29.07,29.81,30.94,30.42,31.59,32.84,33.78,33.27,34.42,Upgrade
29,Long-Term Deferred Tax Liabilities,1.22,1.26,6.81,6.85,8.68,8.81,9.37,9.42,8.06,8.54,9.73,10.2,11.48,29.11,28.74,28.82,-,1.05,1.05,1.05,Upgrade
30,Other Long-Term Liabilities,0.2,0.23,0.52,0.94,-,-,-,-,-,-,-,-,-,-,-,-,100.7,100.7,100.7,100.7,Upgrade
31,Total Liabilities,786.73,842.46,667.69,655.27,692.98,710.82,689.05,753.45,782.13,902.77,1031,1085,1147,1187,1221,1303,1408,1459,1248,1324,Upgrade
32,Common Stock,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,Upgrade
33,Additional Paid-In Capital,327.5,327.5,313,313,313,313,313,313,313,313,313,313,313,313,306.5,313,306.79,307.59,307.52,307.45,Upgrade
34,Retained Earnings,607.51,558.8,511.78,475.16,455.79,415.24,370.85,354.53,346.34,334.89,292.98,272.68,268.76,220.46,169.76,147.43,15.1,-16.82,-62.04,-53.52,Upgrade
35,Comprehensive Income & Other,0.19,0.47,0.43,0.35,0.37,0.25,0.39,0.27,0.34,0.22,0.16,0.11,0.18,0.25,0.23,0.23,0.33,6.29,6.36,6.32,Upgrade
36,Total Common Equity,1293,1245,1183,1147,1127,1086,1042,1026,1018,1006,964.14,943.79,939.94,891.71,834.48,818.66,680.22,655.06,609.84,618.24,Upgrade
37,Minority Interest,7.24,7.27,57.83,57.14,62.12,62.82,66.18,65.8,69.4,73.16,82.29,85.8,95.38,91.43,89.62,88.7,102.16,104.08,100.86,100.98,Upgrade
38,Shareholders' Equity,1300,1252,1241,1204,1189,1149,1108,1092,1087,1079,1046,1030,1035,983.15,924.11,907.36,782.38,759.14,710.69,719.22,Upgrade
39,Total Liabilities & Equity,2087,2095,1909,1859,1882,1860,1797,1845,1869,1982,2077,2114,2182,2170,2145,2210,2191,2218,1958,2044,Upgrade
40,Total Debt,234.14,266.93,246.76,221.22,267.12,317.6,335.29,359.94,361.19,448.75,568.93,566.43,594.89,725.6,854.58,910.95,989.31,1043,839.8,869.8,Upgrade
41,Net Cash (Debt),60.43,108.11,69.8,58.63,10.55,-18.4,-67.08,-52.22,-119.22,-237.23,-284.11,-258.33,-313.67,-444.59,-421.98,-360.09,-420.51,-458.54,-505.92,-530.44,Upgrade
42,Net Cash Growth,473.05%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
43,Net Cash Per Share,0.17,0.30,0.19,0.16,0.03,-0.05,-0.19,-0.15,-0.33,-0.66,-0.79,-0.72,-0.88,-1.24,-1.18,-1.01,-1.17,-1.28,-1.41,-1.48,Upgrade
44,Filing Date Shares Outstanding,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,Upgrade
45,Total Common Shares Outstanding,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,Upgrade
46,Working Capital,481.34,446.5,383.59,372.94,322.35,281.06,232.34,218.28,190.63,171.25,132.46,119.44,120.95,33.85,1.5,19.31,71.89,-84.47,-166.04,-162.64,Upgrade
47,Book Value Per Share,3.61,3.48,3.31,3.20,3.15,3.03,2.91,2.87,2.84,2.81,2.69,2.64,2.63,2.49,2.33,2.29,1.90,1.83,1.70,1.73,Upgrade
48,Tangible Book Value,1241,1192,1129,1091,1071,1028,983.61,965.79,943.95,930.11,886.16,863.89,844.62,794.58,735.09,716.95,552.48,523.81,475.5,478.11,Upgrade
49,Tangible Book Value Per Share,3.47,3.33,3.15,3.05,2.99,2.87,2.75,2.70,2.64,2.60,2.48,2.41,2.36,2.22,2.05,2.00,1.54,1.46,1.33,1.34,Upgrade
50,Buildings,-,540.67,-,536.54,-,514.89,-,504,-,499.32,-,498.75,-,533.15,-,533.01,-,528.56,-,528.41,Upgrade
51,Machinery,-,723.69,-,777.94,-,739.01,-,736.32,-,751.19,-,692.17,-,686.74,-,686.29,-,699.91,-,693.45,Upgrade
52,Construction In Progress,-,10.1,-,8.81,-,20.88,-,13.32,-,12.07,-,14.19,-,11.22,-,7.3,-,15.12,-,14.04,Upgrade
