,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
19,Current Unearned Revenue,1127,1245.0,917.93,2158.0,492.87,553.94,577.91,2029,526.22,375.14,384.42,1876,498.33,326.48,405.18,1947,773.21,493.24,481.39,1757,Upgrade
20,Current Portion of Leases,-,79.76,-,24.64,-,142.27,-,218.4,-,257.17,-,240.83,-,303.59,-,641.93,-,847.71,-,738.67,Upgrade
21,Current Income Taxes Payable,1257,187.0,847.66,178.29,781.9,209.28,992.92,76.95,1054,133.59,989.74,205.95,1141,320.89,1602,701.06,1482,574.06,1561,590.89,Upgrade
22,Other Current Liabilities,3228,8930.0,2493,8984.0,2855,10988.0,2526,10089,2820,10615,2604,9506,12655,17793,5330,17606,4682,17321,4937,17535,Upgrade
23,Total Current Liabilities,62867,66686.0,65086,63197.0,54332,56449.0,50842,63092,58502,59172,54554,65663,60352,59460,55365,61752,56600,57143,60671,67324,Upgrade
24,Long-Term Debt,69128,64594.0,63541,71395.0,77382,84536.0,92506,84774,81252,79342,80116,74194,67787,56852,76013,76802,75357,75160,73120,75109,Upgrade
25,Long-Term Leases,95.17,98.58,143.07,46.62,51.72,54.02,54.49,61.49,128.09,214.87,251.41,327.56,351.17,428.82,1216,1175,1257,1382,1830,2061,Upgrade
26,Long-Term Unearned Revenue,3624,3667.0,3752,3813.0,3826,3809.0,3846,3832,3859,3802,3825,3855,3701,3693,4156,4194,4092,3929,3862,3844,Upgrade
27,Long-Term Deferred Tax Liabilities,1072,1012.0,1033,1021.0,996.35,989.05,860.58,935.18,985.72,953.31,1006,1059,1516,1528,1571,1591,1668,1692,1744,1772,Upgrade
28,Other Long-Term Liabilities,171.99,169.67,182.09,183.49,129.9,112.9,142.87,139.2,145.43,150.55,174.13,196.26,265.85,269.51,634.8,661.97,623.97,634.34,543.24,711.4,Upgrade
29,Total Liabilities,136958,136227.0,133738,139657.0,136718,145950.0,148252,152834,144871,143634,139926,145294,133974,122230,138956,146176,139598,139941,141770,150821,Upgrade
30,Common Stock,10228,10228.0,10228,10228.0,10228,10228.0,9894,9870,9870,9870,9870,9870,9870,9863,9863,9863,9863,9863,9863,9863,Upgrade
31,Additional Paid-In Capital,14739,14740.0,14358,14358.0,14374,14372.0,13035,12949,13104,13104,13106,13209,11510,13409,13543,15078,13541,13541,13371,13327,Upgrade
32,Retained Earnings,16287,15411.0,15839,14227.0,14455,12811.0,13665,12759,15326,14877,16430,16050,22860,24086,24699,24521,23465,22451,22921,21942,Upgrade
33,Comprehensive Income & Other,29464,31475.0,33254,30944.0,34238,31425.0,27251,23914,23670,23618,22957,22788,25153,24728,25122,24922,21327,21252,21566,16378,Upgrade
34,Total Common Equity,70718,71854.0,73679,69756.0,73294,68836.0,63845,59492,61969,61469,62362,61916,69393,72087,73226,74384,68196,67106,67721,61510,Upgrade
35,Minority Interest,14156,14138.0,14069,13624.0,11365,11232.0,11069,10935,11474,11501,11604,11729,14881,16613,21710,22190,21171,20786,19464,17545,Upgrade
36,Shareholders' Equity,84873,85992.0,87747,83380.0,84659,80068.0,74914,70427,73444,72969,73966,73644,84274,88700,94937,96574,89367,87892,87185,79055,Upgrade
37,Total Liabilities & Equity,221831,222220.0,221485,223036.0,221378,226018.0,223166,223260,218315,216603,213892,218939,218248,210930,233893,242750,228965,227832,228955,229876,Upgrade
38,Total Debt,115670,115506.0,113622,117594.0,116690,120397.0,124321,125144,121316,117886,117821,118726,100761,90206,108600,112031,109553,108132,111939,118010,Upgrade
39,Net Cash (Debt),-109657,-109805.0,-108432,-111966.0,-109318,-113495.0,-117046,-118765,-113663,-111999,-111165,-112562,-92197,-81639,-101970,-104919,-102400,-101885,-102842,-111325,Upgrade
40,Net Cash Per Share,-9.06,-8.97,-9.32,-30.32,-9.20,-9.47,-9.29,-12.03,-8.33,-9.01,-7.15,-11.40,-2.34,-11.49,-8.14,-32.10,-8.69,-8.43,-8.56,-9.08,Upgrade
41,Filing Date Shares Outstanding,10228,10228.0,10228,10228.0,10228,10228.0,9894,9870,9870,9870,9870,9870,9870,9863,9863,9863,9863,9863,9863,9863,Upgrade
42,Total Common Shares Outstanding,10228,10228.0,10228,10228.0,10228,10228.0,9894,9870,9870,9870,9870,9870,9870,9863,9863,9863,9863,9863,9863,9863,Upgrade
43,Working Capital,-33943,-37483.0,-37208,-34615.0,-25268,-23972.0,-21100,-33861,-31094,-32265,-29988,-36084,-31850,-31016,-29974,-35857,-32362,-31737,-33584,-40724,Upgrade
44,Book Value Per Share,4.08,3.99,4.00,3.82,3.89,3.71,3.76,3.65,3.91,3.87,4.02,4.00,4.51,4.83,4.90,5.04,4.79,4.68,4.71,4.60,Upgrade
45,Tangible Book Value,63222,64298.0,66160,62109.0,65750,61236.0,56111,51846,54294,53900,54756,54258,60058,62976,60451,61304,54119,52919,53599,47288,Upgrade
46,Tangible Book Value Per Share,3.35,3.26,3.26,3.08,3.15,2.97,2.98,2.87,3.13,3.10,3.25,3.22,3.57,3.91,3.61,3.72,3.36,3.24,3.27,3.16,Upgrade
47,Buildings,-,75124.0,-,73488.0,-,75775.0,-,72025,-,70116,-,69740,-,67600,-,75538,-,71400,-,70077,Upgrade
48,Machinery,-,179798.0,-,180308.0,-,171985.0,-,167658,-,159951,-,159162,-,151534,-,194155,-,181327,-,179304,Upgrade
49,Construction In Progress,-,7715.0,-,7353.0,-,8319.0,-,14843,-,18034,-,15859,-,13254,-,23543,-,17631,-,16705,Upgrade
