,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
43,Net Cash (Debt),198.68,-97.78,-18.51,8.64,71.36,461.22,533.55,306.43,396.87,-53.6,558.55,-1887,-1803,-1752,-1427,-1423,-1423,-1656,-1765,-2026,Upgrade
44,Net Cash Growth,178.40%,-,-,-97.18%,-82.02%,-,-4.48%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
45,Net Cash Per Share,0.17,-0.08,-0.02,0.01,0.06,0.40,0.46,0.27,0.34,-0.05,0.54,-1.82,-1.74,-1.69,-1.38,-1.41,-1.45,-1.69,-1.80,-2.06,Upgrade
46,Filing Date Shares Outstanding,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1036,1036,1036,1036,1036,998.93,981.32,981.32,981.31,Upgrade
47,Total Common Shares Outstanding,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1152,1036,1036,1036,1036,1036,998.93,981.32,981.32,981.31,Upgrade
48,Working Capital,2136,2063,2098,2069,1853,2240,2209,2324,2085,2084,2478,86.71,46.6,-93.09,-10.41,203.91,450.69,513.88,658.9,678.27,Upgrade
49,Book Value Per Share,6.01,5.85,5.73,5.66,5.60,5.56,5.55,5.50,5.51,5.53,5.48,3.64,3.44,3.28,3.12,2.98,2.59,2.37,2.24,2.14,Upgrade
50,Tangible Book Value,6112,5923,5782,5701,5635,5591,5569,5513,5525,5542,5489,2943,2759,2587,2461,2311,1815,1570,1439,1344,Upgrade
51,Tangible Book Value Per Share,5.31,5.14,5.02,4.95,4.89,4.85,4.83,4.79,4.80,4.81,4.76,2.84,2.66,2.50,2.38,2.23,1.82,1.60,1.47,1.37,Upgrade
52,Buildings,1163,-,1013,-,981.34,-,707.33,-,703.07,-,699.4,-,643.88,-,537.45,-,531.66,-,501.66,-,Upgrade
53,Machinery,4092,-,3706,-,3632,-,3090,-,3002,-,2896,-,2859,-,3050,-,2902,-,2923,-,Upgrade
54,Construction In Progress,1497,-,1416,-,1461,-,2168,-,1844,-,1266,-,935.83,-,520.87,-,217.55,-,137.38,-,Upgrade
