,no,s,n,marketCap,price,change,revenue,url
63,64,hnx/IVS,Guotai Junan Securities (Vietnam) Corp.,742045000000.0,10700.0,0.0,72530647065.0,quote/hnx/IVS
64,65,hnx/PVB,PetroVietnam Coating JSC,734399932000.0,34000.0,-2.857142857142857,265172268736.0,quote/hnx/PVB
65,66,hnx/HJS,Nam Mu Hydropower JSC,716096590000.0,34100.0,10.0,149000069681.0,quote/hnx/HJS
66,67,hnx/CAP,Yen Bai Agro-Forestry Products & Foodstuff Corporation,706999379500.0,46400.0,0.0,550167818971.0,quote/hnx/CAP
67,68,hnx/NDN,Danang Housing Investment Development JSC,695081979200.0,9600.0,1.0526315789473684,55616946202.0,quote/hnx/NDN
68,69,hnx/PSD,Petroleum General Distribution Services JSC,694493779600.0,13000.0,-0.7633587786259541,5727409398445.0,quote/hnx/PSD
69,70,hnx/DXP,Doan Xa Port JSC,670993489600.0,11200.0,-0.8849557522123894,681740913400.0,quote/hnx/DXP
70,71,hnx/PIC,PC3 - Investment JSC,663463830900.0,20400.0,-5.116279069767442,116730807384.0,quote/hnx/PIC
71,72,hnx/BTS,Vicem But Son Cement JSC,654867247400.0,5300.0,0.0,2609613580989.0,quote/hnx/BTS
72,73,hnx/SJE,Song Da No. 11 JSC,635637099300.0,26300.0,0.381679389312977,2359678868681.0,quote/hnx/SJE
73,74,hnx/PCT,Global Pacific Shipping JSC,635450761100.0,12700.0,0.0,378770399678.0,quote/hnx/PCT
74,75,hnx/SAF,Safoco Foodstuff JSC,624013362000.0,52000.0,0.0,723778164286.0,quote/hnx/SAF
75,76,hnx/API,Asia-Pacific Investment JSC,605404627200.0,7300.0,-1.351351351351351,209580465103.0,quote/hnx/API
76,77,hnx/NTH,Nuoc Trong Hydro - Power JSC,596273325600.0,54200.000002,0.0,107631651286.0,quote/hnx/NTH
77,78,hnx/VC2,Vina2 Invest and Construction JSC,577663044000.0,8400.0,-1.1764705882352942,1233029252986.0,quote/hnx/VC2
78,79,hnx/VNT,The Van Cargoes and Foreign Trade Logistics JSC,574221346500.0,34500.0,2.6785714285714284,1424557233369.0,quote/hnx/VNT
79,80,hnx/DL1,Alpha Seven Group JSC,573674907600.0,1.745,0.87,547959392194.99994,quote/hnx/DL1
80,81,hnx/TVD,Vinacomin - Vang Danh Coal JSC,548546940800.0,12600.0,1.6129032258064515,6497780720614.0,quote/hnx/TVD
81,82,hnx/PHN,Hanoi Battery JSC,529535503000.0,73000.0,0.0,447855702110.0,quote/hnx/PHN
82,83,hnx/MST,MST Investment JSC,524429676899.99994,6900.0,0.0,1273965816144.0,quote/hnx/MST
