,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
28,Long-Term Leases,61818,62222,66013,67759,73210,77038,83831,81741,36880,35491,32673,30922,-,37528,-,42460,-,45253,-,51635,Upgrade
29,Long-Term Unearned Revenue,9718,10151,9341,9281,9213,8848,8810,8810,8811,8624,8475,8487,-,7767,-,8601,-,7191,-,6861,Upgrade
30,Long-Term Deferred Tax Liabilities,3841,3742,4042,3077,2901,2906,2979,2571,3157,2791,2624,2369,-,1803,-,1668,-,1146,-,1388,Upgrade
31,Other Long-Term Liabilities,8256,956,8250,1587,7817,1906,7615,1711,7323,7454,7234,1597,-,6014,-,5107,-,-,-,-,Upgrade
32,Total Liabilities,653755,637738,653771,646672,665247,654711,663636,634115,619128,622933,594671,631035,-,618614,-,575110,-,594508,-,521951,Upgrade
33,Common Stock,459332,457903,455589,455001,454831,454113,453760,453504,453504,453504,453504,402130,-,402130,-,402130,-,402130,-,402130,Upgrade
34,Retained Earnings,1163962,1183804,1180104,1150636,1124339,1142717,1138025,1109958,1082856,1091063,1096666,1072025,-,1040535,-,1007506,-,-,-,964282,Upgrade
35,Comprehensive Income & Other,-298055,-297463,-298150,-299205,-299397,-299362,-301955,-301414,-301098,-261101,-303315,-303105,-,-264687,-,-260720,-,724265,-,-262639,Upgrade
36,Total Common Equity,1325239,1344244,1337543,1306432,1279773,1297468,1289830,1262048,1235262,1283466,1246855,1171050,-,1177978,1148916,1148916,1126395,1126395,1103773,1103773,Upgrade
37,Minority Interest,4349,4325,4287,4253,4156,4117,4091,4075,4057,3982,3974,3942,-,3861,-,3856,-,3615,-,3516,Upgrade
38,Shareholders' Equity,1329588,1348569,1341830,1310685,1283929,1301585,1293921,1266123,1239319,1287448,1250829,1174992,-,1181839,1152772,1152772,1130010,1130010,1107289,1107289,Upgrade
39,Total Liabilities & Equity,1983343,1986307,1995601,1957357,1949176,1956296,1957557,1900238,1858447,1910381,1845500,1806027,-,1800453,-,1727882,-,1724518,-,1629240,Upgrade
40,Total Debt,92624,95670,98943,102934,106220,112328,115508,112660,58998,60478,61117,56981,-,63149,66633,66633,70208,70208,74303,74303,Upgrade
41,Net Cash (Debt),240205,253557,277183,231856,251672,242433,217464,219126,346556,444444,425058,411169,-,468671,421805,421805,405152,405152,346688,346688,Upgrade
42,Net Cash Growth,-4.56%,4.59%,27.46%,5.81%,-27.38%,-45.45%,-48.84%,-46.71%,-,-5.17%,0.77%,-2.52%,-,15.68%,21.67%,21.67%,17.47%,17.47%,-18.54%,-18.54%,Upgrade
43,Net Cash Per Share,11.14,11.76,12.92,10.82,11.76,11.34,10.15,10.24,16.26,20.85,19.91,20.04,-,22.99,20.52,20.60,-,19.79,-,16.93,Upgrade
44,Filing Date Shares Outstanding,21402,21443,21456,21363,21336,21374,21425,21363,21311,21363,21353,20475,20434,20475,20561,20475,-,20475,-,20475,Upgrade
45,Total Common Shares Outstanding,21403,21443,21456,21363,21336,21374,21425,21363,21311,21363,21353,20475,20434,20475,20561,20475,-,20475,-,20475,Upgrade
46,Working Capital,-59085,-20072,-8153,-60461,-59893,-48409,-61754,-76966,-9937,58988,95346,13223,-,69470,-,62469,-,57924,-,67799,Upgrade
47,Book Value Per Share,61.92,62.69,62.34,61.15,59.98,60.70,60.20,59.08,57.96,60.08,58.39,57.19,-,57.53,56.11,56.11,55.01,55.01,53.91,53.91,Upgrade
48,Tangible Book Value,1278444,1297621,1291600,1258834,1234394,1253027,1245381,1215538,1190593,1225530,1203325,1126687,-,1117531,1090167,1090167,1071215,1071215,1048466,1048466,Upgrade
49,Tangible Book Value Per Share,59.73,60.52,60.20,58.93,57.85,58.62,58.13,56.90,55.87,57.37,56.35,55.03,-,54.58,53.24,53.24,52.32,52.32,51.21,51.21,Upgrade
50,Buildings,-,177432,-,176404,-,172527,-,171447,-,-,-,165750,-,-,-,164369,-,-,-,161490,Upgrade
51,Machinery,-,2036865,-,2020352,-,1937445,-,1915341,-,-,-,1783994,-,-,-,1759090,-,-,-,1634272,Upgrade
52,Construction In Progress,-,94862,-,74496,-,100704,-,69776,-,-,-,69098,-,-,-,71651,-,-,-,67978,Upgrade
