,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+14 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+14 Quarters
44,Total Debt,2247,2247,2159,2011,1830,1791,579.96,571.12,702.72,739.25,638.9,525.96,448.44,458.03,485.27,340.12,340.12,350.9,295.51,288.05,Upgrade
45,Net Cash (Debt),176.68,176.68,47.08,418.1,1015,1001,717.32,929.14,978.05,735.56,252.48,365.01,351.23,209.32,161.08,425.89,425.89,-82.73,493.47,-186.99,Upgrade
46,Net Cash Growth,-82.59%,-82.35%,-93.44%,-55.00%,3.78%,36.09%,184.10%,154.55%,178.47%,251.40%,56.74%,-14.29%,-17.53%,-,-67.36%,-,-,-,-,-,Upgrade
47,Net Cash Per Share,0.56,0.54,0.14,1.28,2.75,2.93,2.27,2.96,3.19,2.95,0.75,1.26,1.20,0.72,0.55,1.48,1.38,-0.31,2.01,-0.87,Upgrade
48,Filing Date Shares Outstanding,314.93,314.74,312.97,314.85,313.74,312.96,312.76,312.04,312.04,313.11,290.44,290.44,290.44,290.44,290.44,288.15,290.44,290.44,290.44,290.44,Upgrade
49,Total Common Shares Outstanding,314.93,314.74,312.97,314.85,313.63,312.96,312.76,312.04,313.57,313.11,290.44,290.44,290.44,290.44,290.44,288.15,290.44,290.44,290.44,217.82,Upgrade
50,Working Capital,-,3806,3361,3504,3150,2889,1638,1760,1836,1640,1020,1098,1030,917.94,881.03,-,921.42,932.23,947.91,407.31,Upgrade
51,Book Value Per Share,14.17,14.17,12.92,12.76,11.68,10.48,8.84,8.51,8.20,7.32,5.42,5.26,4.85,4.33,4.04,3.75,3.75,3.44,3.45,2.12,Upgrade
52,Tangible Book Value,4219,4219,3801,3772,3417,3010,2593,2573,2491,2211,1493,1464,1343,1192,1114,1051,1051,958.52,973.99,433.23,Upgrade
53,Tangible Book Value Per Share,13.40,13.40,12.15,11.98,10.90,9.65,8.29,8.25,7.94,7.06,5.14,5.04,4.63,4.10,3.84,3.62,3.62,3.30,3.35,1.99,Upgrade
54,Buildings,-,-,854.1,-,848.38,-,364.54,-,328.82,-,109.85,-,109.85,-,-,-,-,-,-,-,Upgrade
55,Machinery,-,-,190.97,-,187.26,-,130.73,-,109.56,-,70.59,-,56.15,-,47.61,-,43.41,-,36.94,-,Upgrade
56,Construction In Progress,-,-,593.11,-,152.49,-,266.14,-,98,-,218.09,-,140.88,-,194.84,-,92.85,-,5.04,-,Upgrade
57,Order Backlog,-,-,-,14351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1521,Upgrade
